ica_mode,participant,target,modality,classifier,feature_count_request,ica_feature_count_resolved,ica_folds,ica_balanced_accuracy_mean,ica_balanced_accuracy_sd,ica_balanced_accuracy_median,ica_balanced_accuracy_min,ica_balanced_accuracy_max,ica_accuracy_mean,ica_precision_mean,ica_recall_mean,ica_f1_mean,no_ica_mode,no_ica_feature_count_resolved,no_ica_folds,no_ica_balanced_accuracy_mean,no_ica_balanced_accuracy_sd,no_ica_balanced_accuracy_median,no_ica_balanced_accuracy_min,no_ica_balanced_accuracy_max,no_ica_accuracy_mean,no_ica_precision_mean,no_ica_recall_mean,no_ica_f1_mean,balanced_accuracy_delta,accuracy_delta,analysis_row,is_ica_best_all,is_no_ica_best_all,is_ica_best_eeg_containing,is_no_ica_best_eeg_containing
individual,P01,arousal,eeg,svm,5,5,5,0.4904761904761905,0.096290481829226,0.5,0.3412698412698413,0.6111111111111112,0.5727272727272728,0.588102766798419,0.9142857142857144,0.7127366327366327,individual,5,5,0.4756410256410256,0.0857211122655079,0.5,0.3412698412698413,0.5753968253968254,0.5541501976284585,0.5806493506493506,0.8846153846153847,0.6979271708683473,-0.014835164835164893,-0.018577075098814233,matched_configuration,False,False,False,False
individual,P01,arousal,eeg,svm,all,all,5,0.477045177045177,0.1004738230799105,0.5,0.3253968253968253,0.5897435897435898,0.5276679841897234,0.5776466216363915,0.7318681318681319,0.6390160880483461,individual,all,5,0.4915750915750916,0.1001968957347271,0.5,0.3253968253968253,0.5726495726495726,0.5367588932806324,0.5856007074542544,0.7164835164835165,0.6355735735735736,0.01452991452991459,0.009090909090909038,matched_configuration,False,False,False,False
individual,P01,arousal,face,gnb,10,10,5,0.5895238095238096,0.117430015396401,0.6071428571428572,0.4523809523809523,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519,individual,10,5,0.5895238095238096,0.117430015396401,0.6071428571428572,0.4523809523809523,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,gnb,20,10,5,0.5895238095238096,0.117430015396401,0.6071428571428572,0.4523809523809523,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519,individual,10,5,0.5895238095238096,0.117430015396401,0.6071428571428572,0.4523809523809523,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,gnb,5,5,5,0.6033333333333333,0.1001092248042332,0.6071428571428572,0.4880952380952381,0.7285714285714285,0.6434782608695653,0.6772727272727272,0.7866666666666667,0.7251444547996273,individual,5,5,0.6033333333333333,0.1001092248042332,0.6071428571428572,0.4880952380952381,0.7285714285714285,0.6434782608695653,0.6772727272727272,0.7866666666666667,0.7251444547996273,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,gnb,all,all,5,0.5895238095238096,0.117430015396401,0.6071428571428572,0.4523809523809523,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519,individual,all,5,0.5895238095238096,0.117430015396401,0.6071428571428572,0.4523809523809523,0.7285714285714285,0.6264492753623189,0.6680952380952381,0.759047619047619,0.7083853311439519,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,knn,10,10,5,0.5417460317460318,0.060251112214246,0.5357142857142857,0.4555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676,individual,10,5,0.5417460317460318,0.060251112214246,0.5357142857142857,0.4555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,knn,20,10,5,0.5417460317460318,0.060251112214246,0.5357142857142857,0.4555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676,individual,10,5,0.5417460317460318,0.060251112214246,0.5357142857142857,0.4555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,knn,5,5,5,0.5452380952380953,0.0531183070865876,0.5214285714285715,0.5,0.6214285714285714,0.5764492753623188,0.639017094017094,0.6904761904761905,0.6619345569150908,individual,5,5,0.5452380952380953,0.0531183070865876,0.5214285714285715,0.5,0.6214285714285714,0.5764492753623188,0.639017094017094,0.6904761904761905,0.6619345569150908,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,knn,all,all,5,0.5417460317460318,0.060251112214246,0.5357142857142857,0.4555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676,individual,all,5,0.5417460317460318,0.060251112214246,0.5357142857142857,0.4555555555555555,0.6150793650793651,0.5684782608695652,0.6285593792172739,0.679047619047619,0.6476767676767676,0.0,0.0,matched_configuration,False,False,False,False
