mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,recall_low_mean,recall_neutral_mean,recall_high_mean,balanced_accuracy_sd
individual,P19,valence,face,gnb,5,5,5,0.3488888888888889,0.5083333333333334,0.31164954870837225,0.3488888888888889,0.31866004036749307,0.08,0.7066666666666667,0.26,0.06459751934999393
individual,P19,valence,face,svm,5,5,5,0.3466666666666667,0.6,0.25597235843231264,0.3466666666666667,0.2929787767558665,0.0,0.9199999999999999,0.12,0.09375565826546213
individual,P19,valence,eeg,knn,5,5,5,0.34444444444444444,0.5333333333333333,0.31424963924963917,0.34444444444444444,0.32089987557729494,0.18,0.7733333333333332,0.08,0.04212708580028641
individual,P19,valence,multimodal,svm,10,10,5,0.34444444444444444,0.6,0.22910052910052903,0.34444444444444444,0.2716180371352785,0.1,0.9333333333333332,0.0,0.024845199749997632
individual,P19,valence,eeg,gnb,10,10,5,0.34111111111111103,0.4916666666666666,0.31646825396825395,0.34111111111111103,0.31649555355450787,0.19,0.6933333333333334,0.13999999999999999,0.08094732321579551
individual,P19,valence,multimodal,gnb,10,10,5,0.33888888888888885,0.4583333333333333,0.29136113886113885,0.33888888888888885,0.29925168631064064,0.24,0.6266666666666667,0.15,0.07463904912524666
individual,P19,valence,multimodal,knn,10,10,5,0.33777777777777773,0.5666666666666667,0.2885426731078905,0.33777777777777773,0.3023481002428371,0.08,0.8533333333333333,0.08,0.024343224778007346
individual,P19,valence,multimodal,svm,all,all,5,0.33666666666666667,0.5166666666666666,0.24733860910331495,0.33666666666666667,0.2767091242091242,0.2,0.76,0.05,0.07501028736031172
individual,P19,valence,multimodal,svm,5,5,5,0.3333333333333333,0.5916666666666667,0.2431699346405228,0.3333333333333333,0.278997668997669,0.0,0.9199999999999999,0.08,0.0471404520791032
individual,P19,valence,multimodal,knn,all,all,5,0.3322222222222222,0.5833333333333334,0.2697317569285532,0.3322222222222222,0.2883040179634606,0.0,0.9066666666666666,0.09,0.027329719724997408
individual,P19,valence,eeg,svm,5,5,5,0.3288888888888889,0.5833333333333333,0.24460091107149928,0.3288888888888889,0.2786028686028686,0.0,0.9066666666666666,0.08,0.059628479399994404
individual,P19,valence,multimodal,gnb,5,5,5,0.3288888888888889,0.5083333333333333,0.2996978557504873,0.3288888888888889,0.31073009849100924,0.05,0.7466666666666667,0.19,0.09241278838337322
individual,P19,valence,eeg,svm,20,20,5,0.32555555555555554,0.5083333333333334,0.2676731940031173,0.32555555555555554,0.2852980206927575,0.13999999999999999,0.7466666666666667,0.09,0.02876039801232173
individual,P19,valence,eeg,svm,all,all,5,0.31777777777777777,0.55,0.23120349182134076,0.31777777777777777,0.26360531797064296,0.1,0.8533333333333333,0.0,0.0345607355888795
individual,P19,valence,eeg,knn,all,all,5,0.3144444444444444,0.5666666666666667,0.22307189542483657,0.3144444444444444,0.2600641025641025,0.0,0.8933333333333333,0.05,0.020637972912229668
individual,P19,valence,multimodal,knn,5,5,5,0.3144444444444444,0.5,0.28037037037037027,0.3144444444444444,0.2916365073836338,0.04,0.7333333333333334,0.17,0.07366088463985432
individual,P19,valence,eeg,knn,10,10,5,0.31111111111111106,0.5333333333333333,0.2509088079676315,0.31111111111111106,0.2746522251694665,0.08,0.8133333333333332,0.04,0.058794473579213136
individual,P19,valence,eeg,svm,10,10,5,0.30666666666666664,0.5583333333333333,0.22062643239113822,0.30666666666666664,0.25450354200354197,0.04,0.8800000000000001,0.0,0.02897423291201179
individual,P19,valence,eeg,gnb,5,5,5,0.30333333333333334,0.5,0.2676510721247563,0.30333333333333334,0.28317018563697877,0.0,0.76,0.15,0.09857002273874164
individual,P19,valence,eeg,knn,20,20,5,0.29333333333333333,0.5,0.25995543672014254,0.29333333333333333,0.2682193053967247,0.08,0.76,0.04,0.05752079602464352
individual,P19,valence,multimodal,svm,20,20,5,0.29333333333333333,0.55,0.19917620137299769,0.29333333333333333,0.2367289263883691,0.0,0.8799999999999999,0.0,0.04554200340426488
individual,P19,valence,eeg,gnb,20,20,5,0.2899999999999999,0.425,0.2951283846872082,0.2899999999999999,0.28281385548905014,0.18,0.6,0.09,0.11826941413986822
