mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P42,valence,eeg,gnb,10,24,21,31,18,50
general,COHORT,P43,valence,eeg,gnb,10,25,4,39,5,72
general,COHORT,P44,valence,eeg,gnb,10,26,14,21,33,51
general,COHORT,P45,valence,eeg,gnb,10,27,3,39,6,72
general,COHORT,P46,valence,eeg,gnb,10,28,0,49,0,68
general,COHORT,P10,valence,eeg,gnb,20,1,46,4,64,6
general,COHORT,P11,valence,eeg,gnb,20,2,4,54,4,58
general,COHORT,P14,valence,eeg,gnb,20,3,0,62,0,54
general,COHORT,P15,valence,eeg,gnb,20,4,0,38,1,77
general,COHORT,P16,valence,eeg,gnb,20,5,0,55,0,62
general,COHORT,P17,valence,eeg,gnb,20,6,6,45,7,60
general,COHORT,P18,valence,eeg,gnb,20,7,7,49,5,55
general,COHORT,P19,valence,eeg,gnb,20,8,11,32,37,40
general,COHORT,P20,valence,eeg,gnb,20,9,1,51,0,65
general,COHORT,P22,valence,eeg,gnb,20,10,1,67,3,49
general,COHORT,P23,valence,eeg,gnb,20,11,1,68,2,46
general,COHORT,P24,valence,eeg,gnb,20,12,6,56,8,47
general,COHORT,P25,valence,eeg,gnb,20,13,0,54,0,66
general,COHORT,P26,valence,eeg,gnb,20,14,1,65,0,51
general,COHORT,P27,valence,eeg,gnb,20,15,0,37,0,79
general,COHORT,P30,valence,eeg,gnb,20,16,1,56,0,59
general,COHORT,P32,valence,eeg,gnb,20,17,4,54,3,59
general,COHORT,P33,valence,eeg,gnb,20,18,2,58,2,55
general,COHORT,P34,valence,eeg,gnb,20,19,0,70,0,48
general,COHORT,P38,valence,eeg,gnb,20,20,3,46,9,59
general,COHORT,P39,valence,eeg,gnb,20,21,8,25,17,67
general,COHORT,P40,valence,eeg,gnb,20,22,0,54,0,66
general,COHORT,P41,valence,eeg,gnb,20,23,0,52,0,65
general,COHORT,P42,valence,eeg,gnb,20,24,14,38,9,59
general,COHORT,P43,valence,eeg,gnb,20,25,0,43,1,76
general,COHORT,P44,valence,eeg,gnb,20,26,8,27,24,60
general,COHORT,P45,valence,eeg,gnb,20,27,0,42,0,78
general,COHORT,P46,valence,eeg,gnb,20,28,0,49,1,67
general,COHORT,P10,valence,face,knn,all,1,35,15,45,25
general,COHORT,P11,valence,face,knn,all,2,12,46,21,41
general,COHORT,P14,valence,face,knn,all,3,36,27,32,25
general,COHORT,P15,valence,face,knn,all,4,17,23,31,49
general,COHORT,P16,valence,face,knn,all,5,19,36,14,51
general,COHORT,P17,valence,face,knn,all,6,23,29,36,32
general,COHORT,P18,valence,face,knn,all,7,26,32,31,31
general,COHORT,P19,valence,face,knn,all,8,7,36,25,52
general,COHORT,P20,valence,face,knn,all,9,26,27,34,33
general,COHORT,P22,valence,face,knn,all,10,8,60,4,48
general,COHORT,P23,valence,face,knn,all,11,16,53,10,41
general,COHORT,P24,valence,face,knn,all,12,22,40,12,46
general,COHORT,P25,valence,face,knn,all,13,22,32,29,37
general,COHORT,P26,valence,face,knn,all,14,21,47,18,34
general,COHORT,P27,valence,face,knn,all,15,11,28,28,53
general,COHORT,P30,valence,face,knn,all,16,26,33,24,37
general,COHORT,P32,valence,face,knn,all,17,27,31,30,32
general,COHORT,P33,valence,face,knn,all,18,26,34,33,27
general,COHORT,P34,valence,face,knn,all,19,19,52,14,35
general,COHORT,P38,valence,face,knn,all,20,20,29,30,41
general,COHORT,P39,valence,face,knn,all,21,6,27,32,55
general,COHORT,P40,valence,face,knn,all,22,16,38,26,40
general,COHORT,P41,valence,face,knn,all,23,34,20,35,31
general,COHORT,P42,valence,face,knn,all,24,39,13,44,24
general,COHORT,P43,valence,face,knn,all,25,15,28,14,63
general,COHORT,P44,valence,face,knn,all,26,16,20,19,65
general,COHORT,P45,valence,face,knn,all,27,9,33,26,52
general,COHORT,P46,valence,face,knn,all,28,12,39,17,52
general,COHORT,P10,valence,face,knn,5,1,21,29,30,40
general,COHORT,P11,valence,face,knn,5,2,34,24,28,34
general,COHORT,P14,valence,face,knn,5,3,44,19,34,23
general,COHORT,P15,valence,face,knn,5,4,21,19,43,37
general,COHORT,P16,valence,face,knn,5,5,8,47,15,50
general,COHORT,P17,valence,face,knn,5,6,33,19,38,30
general,COHORT,P18,valence,face,knn,5,7,23,35,20,42
general,COHORT,P19,valence,face,knn,5,8,8,35,29,48
general,COHORT,P20,valence,face,knn,5,9,36,17,29,38
general,COHORT,P22,valence,face,knn,5,10,13,55,15,37
general,COHORT,P23,valence,face,knn,5,11,10,59,11,40
general,COHORT,P24,valence,face,knn,5,12,27,35,29,29
general,COHORT,P25,valence,face,knn,5,13,15,39,21,45
general,COHORT,P26,valence,face,knn,5,14,31,37,22,30
general,COHORT,P27,valence,face,knn,5,15,24,15,55,26
general,COHORT,P30,valence,face,knn,5,16,49,10,39,22
general,COHORT,P32,valence,face,knn,5,17,22,36,20,42
general,COHORT,P33,valence,face,knn,5,18,17,43,18,42
general,COHORT,P34,valence,face,knn,5,19,33,38,18,31
general,COHORT,P38,valence,face,knn,5,20,17,32,20,51
general,COHORT,P39,valence,face,knn,5,21,7,26,22,65
general,COHORT,P40,valence,face,knn,5,22,20,34,27,39
general,COHORT,P41,valence,face,knn,5,23,16,38,17,49
general,COHORT,P42,valence,face,knn,5,24,22,30,33,35
general,COHORT,P43,valence,face,knn,5,25,9,34,20,57
general,COHORT,P44,valence,face,knn,5,26,19,17,46,38
general,COHORT,P45,valence,face,knn,5,27,10,32,16,62
general,COHORT,P46,valence,face,knn,5,28,13,38,27,42
general,COHORT,P10,valence,face,knn,10,1,35,15,45,25
general,COHORT,P11,valence,face,knn,10,2,12,46,21,41
general,COHORT,P14,valence,face,knn,10,3,36,27,32,25
general,COHORT,P15,valence,face,knn,10,4,17,23,31,49
general,COHORT,P16,valence,face,knn,10,5,19,36,14,51
general,COHORT,P17,valence,face,knn,10,6,23,29,36,32
general,COHORT,P18,valence,face,knn,10,7,26,32,31,31
general,COHORT,P19,valence,face,knn,10,8,7,36,25,52
general,COHORT,P20,valence,face,knn,10,9,26,27,34,33
general,COHORT,P22,valence,face,knn,10,10,8,60,4,48
general,COHORT,P23,valence,face,knn,10,11,16,53,10,41
general,COHORT,P24,valence,face,knn,10,12,22,40,12,46
general,COHORT,P25,valence,face,knn,10,13,22,32,29,37
general,COHORT,P26,valence,face,knn,10,14,21,47,18,34
general,COHORT,P27,valence,face,knn,10,15,11,28,28,53
general,COHORT,P30,valence,face,knn,10,16,26,33,24,37
general,COHORT,P32,valence,face,knn,10,17,27,31,30,32
general,COHORT,P33,valence,face,knn,10,18,26,34,33,27
general,COHORT,P34,valence,face,knn,10,19,19,52,14,35
general,COHORT,P38,valence,face,knn,10,20,20,29,30,41
general,COHORT,P39,valence,face,knn,10,21,6,27,32,55
general,COHORT,P40,valence,face,knn,10,22,16,38,26,40
general,COHORT,P41,valence,face,knn,10,23,34,20,35,31
general,COHORT,P42,valence,face,knn,10,24,39,13,44,24
general,COHORT,P43,valence,face,knn,10,25,15,28,14,63
general,COHORT,P44,valence,face,knn,10,26,16,20,19,65
general,COHORT,P45,valence,face,knn,10,27,9,33,26,52
general,COHORT,P46,valence,face,knn,10,28,12,39,17,52
general,COHORT,P10,valence,face,knn,20,1,35,15,45,25
general,COHORT,P11,valence,face,knn,20,2,12,46,21,41
general,COHORT,P14,valence,face,knn,20,3,36,27,32,25
general,COHORT,P15,valence,face,knn,20,4,17,23,31,49
general,COHORT,P16,valence,face,knn,20,5,19,36,14,51
general,COHORT,P17,valence,face,knn,20,6,23,29,36,32
general,COHORT,P18,valence,face,knn,20,7,26,32,31,31
general,COHORT,P19,valence,face,knn,20,8,7,36,25,52
general,COHORT,P20,valence,face,knn,20,9,26,27,34,33
general,COHORT,P22,valence,face,knn,20,10,8,60,4,48
general,COHORT,P23,valence,face,knn,20,11,16,53,10,41
general,COHORT,P24,valence,face,knn,20,12,22,40,12,46
general,COHORT,P25,valence,face,knn,20,13,22,32,29,37
