mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,feature,selected,feature_score
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__C4,False,0.23722369225008108
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__Cz,False,0.06505292940483152
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__Fz,False,0.769583221144029
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__Oz,False,0.5238989844085896
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__PO7,False,4.393958286048648
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__PO8,False,0.08062207570378932
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__Pz,False,0.6366249954380013
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__C3,False,0.0553247811973886
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__C4,False,0.26425352076297076
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__Cz,False,0.6932771344534795
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__Fz,False,1.1909597407923864
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__Oz,False,1.4245432181137478
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__PO7,False,0.08659663170471318
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__PO8,False,0.020898416686992702
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_gamma__Pz,False,1.760495752409575
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__C3,False,3.0194465876663372
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__C4,False,5.822467139169486
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__Cz,False,0.014313950791168081
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__Fz,False,0.30013618888984755
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__Oz,False,1.8420522601407707
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__PO7,False,2.093730870856581
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__PO8,False,0.5791363342621001
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_sd__Pz,False,0.48781457274997453
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__C3,False,0.22597186285166834
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__C4,False,1.5543160856029097
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__Cz,False,2.627463749860421
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__Fz,False,3.011542073232293
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__Oz,False,2.546849483378276
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__PO7,False,0.0014068288241679506
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__PO8,False,7.230274011297782
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_se__Pz,False,0.9924545217790945
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__C3,False,0.014092390530830648
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__C4,False,0.3054539209603143
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__Cz,True,9.347186889876706
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__Fz,False,1.6498677722767203
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__Oz,False,5.77563146828905
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__PO7,False,2.3379369547713575
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__PO8,False,8.195313904994071
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hm__Pz,False,1.4686181067724966
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__C3,False,4.762193985039699
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__C4,False,2.401868009934929
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__Cz,False,8.342100222464259
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__Fz,False,5.129289441358091
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__Oz,False,4.630770603961508
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__PO7,False,3.893884981637634
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__PO8,True,12.835102832672066
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_hc__Pz,False,1.389982458287107
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_mf_hz__C3,False,2.425544016270686
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_mf_hz__C4,False,0.1697106019942811
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_mf_hz__Cz,False,8.212974795605586
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_mf_hz__Fz,False,2.463724663732639
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_mf_hz__Oz,False,2.233308482944891
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_mf_hz__PO7,False,2.138736161757215
individual,P19,P19,arousal,eeg,knn,5,5,3,eeg_mf_hz__PO8,True,12.687108867873988
