eeg_se__C3,eeg_hm__C3,eeg_hm__Oz,eeg_hc__Cz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_se_delta__C3,eeg_se_theta__Cz,eeg_se_alpha__C4,eeg_se_beta__Oz
4.657432365405183,0.3534903965260488,0.3016119422004666,1.4864398923391922,14.0,0.8888817807358793,1.9425720536717732,2.0968103280195725,2.131803426513817,3.79878996480408
4.272647385900104,0.3206188215330179,0.2821837961873704,1.7524364040467717,11.0,1.025955235907507,1.931594931590595,2.1156985208603034,2.260102950671787,3.661540650181773
4.213752699712861,0.2766238075731473,0.2451145548150401,2.1696552294380576,6.0,3.818562467283055,1.899717159800144,2.234998823608792,2.2220091408646025,3.614422035507221
4.461727891422001,0.3301681231364524,0.288861953225712,1.62189512152467,12.0,2.3848076223478025,1.8825132526577308,2.280971359369002,2.1071056326975928,3.6290639965942537
4.605228791762629,0.3322961978063922,0.2697473378164759,1.808933708938986,11.0,1.1415518135297136,1.9325946504761675,2.2827144759153524,1.9475687836679831,3.970213429664507
4.586766805706827,0.3337421878592717,0.2795326636494757,1.507022544419362,12.0,1.4715885363638574,1.9322650657304823,2.0949125373064006,2.10520593152735,3.5145287256557105
4.727147742700262,0.349468176070353,0.3094891186565078,1.4535550707891225,12.0,1.269700730678861,1.892967533821868,2.282097710690885,2.20285519481788,3.6504969416277806
4.534647392163163,0.3286605467045516,0.2737429961742599,1.525104154278586,11.0,1.8716797259818567,1.9624080453916704,2.2186556856057598,1.852091323292667,3.670655518755385
4.258568337792135,0.3154419194635324,0.2984572856735579,1.9495464884943583,8.0,2.238908289485325,1.5560229947138495,2.223818167855386,2.0379444355152465,3.71985016228121
4.525172755797758,0.316848978289767,0.2892564510759268,1.5742588961065571,9.0,1.931963306582239,1.9283149395278327,2.2065749790557008,2.2212116705857,3.851091466482844
4.487585412667989,0.3195725306554025,0.2609664184801205,1.600599373501003,9.0,1.7241928925162275,1.8270136163815256,2.22671722018148,2.238942672318027,3.582342463350514
4.7177284663097145,0.3530559185837122,0.3063175118300934,1.5086912663772016,13.0,0.9306922943813238,1.8865643699566197,2.2418609695443066,2.2615720421483503,3.841524353740251
4.185748934938726,0.2993712678721112,0.227720176316869,1.8197982061165556,9.0,2.310758628719097,1.441915616477684,2.1829741817184765,2.069341924356561,3.9440827602721664
