mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P45,P45,arousal,face,gnb,10,10,4,P45,120,96,24,69,51,0.5785714285714285,0.625,0.6,0.3,0.4,12,2,7,3
individual,P45,P45,arousal,face,gnb,10,10,5,P45,120,96,24,69,51,0.4357142857142857,0.4583333333333333,0.3333333333333333,0.3,0.3157894736842105,8,6,7,3
individual,P46,P46,arousal,face,gnb,10,10,1,P46,120,96,24,33,87,0.5555555555555556,0.75,0.7727272727272727,0.9444444444444444,0.85,1,5,1,17
individual,P46,P46,arousal,face,gnb,10,10,2,P46,120,96,24,33,87,0.3888888888888889,0.5,0.6875,0.6111111111111112,0.6470588235294118,1,5,7,11
individual,P46,P46,arousal,face,gnb,10,10,3,P46,120,96,24,33,87,0.4411764705882353,0.625,0.6818181818181818,0.8823529411764706,0.7692307692307693,0,7,2,15
individual,P46,P46,arousal,face,gnb,10,10,4,P46,120,96,24,33,87,0.38235294117647056,0.5416666666666666,0.65,0.7647058823529411,0.7027027027027027,0,7,4,13
individual,P46,P46,arousal,face,gnb,10,10,5,P46,120,96,24,33,87,0.39495798319327735,0.5,0.6470588235294118,0.6470588235294118,0.6470588235294118,1,6,6,11
individual,P10,P10,arousal,face,gnb,20,10,1,P10,120,96,24,56,64,0.5833333333333334,0.5833333333333334,0.5454545454545454,1.0,0.7058823529411765,2,10,0,12
individual,P10,P10,arousal,face,gnb,20,10,2,P10,120,96,24,56,64,0.6258741258741258,0.625,0.6666666666666666,0.6153846153846154,0.64,7,4,5,8
individual,P10,P10,arousal,face,gnb,20,10,3,P10,120,96,24,56,64,0.6503496503496503,0.6666666666666666,0.6470588235294118,0.8461538461538461,0.7333333333333333,5,6,2,11
individual,P10,P10,arousal,face,gnb,20,10,4,P10,120,96,24,56,64,0.4300699300699301,0.4583333333333333,0.5,0.7692307692307693,0.6060606060606061,1,10,3,10
individual,P10,P10,arousal,face,gnb,20,10,5,P10,120,96,24,56,64,0.46853146853146854,0.5,0.5238095238095238,0.8461538461538461,0.6470588235294118,1,10,2,11
individual,P11,P11,arousal,face,gnb,20,10,1,P11,120,96,24,52,68,0.48951048951048953,0.5,0.5333333333333333,0.6153846153846154,0.5714285714285714,4,7,5,8
individual,P11,P11,arousal,face,gnb,20,10,2,P11,120,96,24,52,68,0.7342657342657343,0.75,0.7058823529411765,0.9230769230769231,0.8,6,5,1,12
individual,P11,P11,arousal,face,gnb,20,10,3,P11,120,96,24,52,68,0.5071428571428571,0.5416666666666666,0.5882352941176471,0.7142857142857143,0.6451612903225806,3,7,4,10
individual,P11,P11,arousal,face,gnb,20,10,4,P11,120,96,24,52,68,0.5428571428571428,0.5833333333333334,0.6111111111111112,0.7857142857142857,0.6875,3,7,3,11
individual,P11,P11,arousal,face,gnb,20,10,5,P11,120,96,24,52,68,0.5928571428571429,0.625,0.6470588235294118,0.7857142857142857,0.7096774193548387,4,6,3,11
individual,P14,P14,arousal,face,gnb,20,10,1,P14,120,96,24,52,68,0.45,0.4583333333333333,0.5384615384615384,0.5,0.5185185185185185,4,6,7,7
individual,P14,P14,arousal,face,gnb,20,10,2,P14,120,96,24,52,68,0.7785714285714285,0.7916666666666666,0.8,0.8571428571428571,0.8275862068965517,7,3,2,12
individual,P14,P14,arousal,face,gnb,20,10,3,P14,120,96,24,52,68,0.5428571428571428,0.5833333333333334,0.6111111111111112,0.7857142857142857,0.6875,3,7,3,11
individual,P14,P14,arousal,face,gnb,20,10,4,P14,120,96,24,52,68,0.458041958041958,0.4583333333333333,0.5,0.46153846153846156,0.48,5,6,7,6
individual,P14,P14,arousal,face,gnb,20,10,5,P14,120,96,24,52,68,0.6118881118881119,0.625,0.625,0.7692307692307693,0.6896551724137931,5,6,3,10
individual,P15,P15,arousal,face,gnb,20,10,1,P15,120,96,24,26,94,0.41666666666666663,0.5416666666666666,0.7058823529411765,0.6666666666666666,0.6857142857142857,1,5,6,12
individual,P15,P15,arousal,face,gnb,20,10,2,P15,120,96,24,26,94,0.4157894736842105,0.5416666666666666,0.75,0.631578947368421,0.6857142857142857,1,4,7,12
individual,P15,P15,arousal,face,gnb,20,10,3,P15,120,96,24,26,94,0.6736842105263158,0.8333333333333334,0.8571428571428571,0.9473684210526315,0.9,2,3,1,18
individual,P15,P15,arousal,face,gnb,20,10,4,P15,120,96,24,26,94,0.7473684210526316,0.8333333333333334,0.8947368421052632,0.8947368421052632,0.8947368421052632,3,2,2,17
individual,P15,P15,arousal,face,gnb,20,10,5,P15,120,96,24,26,94,0.5947368421052632,0.7083333333333334,0.8333333333333334,0.7894736842105263,0.8108108108108109,2,3,4,15
individual,P16,P16,arousal,face,gnb,20,10,1,P16,120,96,24,44,76,0.53125,0.6666666666666666,0.6818181818181818,0.9375,0.7894736842105263,1,7,1,15
individual,P16,P16,arousal,face,gnb,20,10,2,P16,120,96,24,44,76,0.5888888888888888,0.625,0.6875,0.7333333333333333,0.7096774193548387,4,5,4,11
individual,P16,P16,arousal,face,gnb,20,10,3,P16,120,96,24,44,76,0.6111111111111112,0.7083333333333334,0.6818181818181818,1.0,0.8108108108108109,2,7,0,15
individual,P16,P16,arousal,face,gnb,20,10,4,P16,120,96,24,44,76,0.5111111111111111,0.5833333333333334,0.631578947368421,0.8,0.7058823529411765,2,7,3,12
individual,P16,P16,arousal,face,gnb,20,10,5,P16,120,96,24,44,76,0.5444444444444445,0.5416666666666666,0.6666666666666666,0.5333333333333333,0.5925925925925926,5,4,7,8
individual,P17,P17,arousal,face,gnb,20,10,1,P17,120,96,24,32,88,0.6134453781512605,0.75,0.7619047619047619,0.9411764705882353,0.8421052631578947,2,5,1,16
individual,P17,P17,arousal,face,gnb,20,10,2,P17,120,96,24,32,88,0.5840336134453781,0.7083333333333334,0.75,0.8823529411764706,0.8108108108108109,2,5,2,15
individual,P17,P17,arousal,face,gnb,20,10,3,P17,120,96,24,32,88,0.4722222222222222,0.5416666666666666,0.7333333333333333,0.6111111111111112,0.6666666666666666,2,4,7,11
