mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P11,valence,eeg,svm,10,10,5,0.43094405594405594,0.067815995076162,0.458041958041958,0.32167832167832167,0.5,0.4333333333333333,0.45807017543859646,0.617948717948718,0.5145099846390169
individual,P11,valence,eeg,svm,20,20,5,0.4574009324009324,0.08508916848408758,0.5,0.32867132867132864,0.5416666666666666,0.4666666666666667,0.4776373626373626,0.7102564102564102,0.5616231616231616
individual,P11,valence,eeg,svm,5,5,5,0.4435314685314685,0.06613204999117636,0.4583333333333333,0.34265734265734266,0.5,0.45,0.4595410628019324,0.7128205128205127,0.5474669474669475
individual,P11,valence,eeg,svm,all,all,5,0.48828671328671336,0.055695531410743244,0.5,0.4166666666666667,0.5664335664335665,0.5,0.505788084464555,0.7705128205128206,0.6032072072072072
individual,P11,valence,face,gnb,10,10,5,0.5995337995337995,0.10008679760128378,0.5833333333333333,0.5,0.75,0.5916666666666667,0.6799999999999999,0.3717948717948718,0.46807359307359303
individual,P11,valence,face,gnb,20,10,5,0.5995337995337995,0.10008679760128378,0.5833333333333333,0.5,0.75,0.5916666666666667,0.6799999999999999,0.3717948717948718,0.46807359307359303
individual,P11,valence,face,gnb,5,5,5,0.6155594405594406,0.11041501255453927,0.5833333333333333,0.5,0.7916666666666667,0.6083333333333333,0.696969696969697,0.40384615384615385,0.49668464639860516
individual,P11,valence,face,gnb,all,all,5,0.5995337995337995,0.10008679760128378,0.5833333333333333,0.5,0.75,0.5916666666666667,0.6799999999999999,0.3717948717948718,0.46807359307359303
individual,P11,valence,face,knn,10,10,5,0.5055361305361306,0.06044685584849912,0.5,0.4125874125874126,0.5734265734265734,0.5083333333333333,0.518974358974359,0.5641025641025641,0.537999037999038
individual,P11,valence,face,knn,20,10,5,0.5055361305361306,0.06044685584849912,0.5,0.4125874125874126,0.5734265734265734,0.5083333333333333,0.518974358974359,0.5641025641025641,0.537999037999038
individual,P11,valence,face,knn,5,5,5,0.5871212121212122,0.07978763180503418,0.5416666666666666,0.5174825174825175,0.7097902097902098,0.5833333333333333,0.6169552669552669,0.4666666666666667,0.5251877519886673
individual,P11,valence,face,knn,all,all,5,0.5055361305361306,0.06044685584849912,0.5,0.4125874125874126,0.5734265734265734,0.5083333333333333,0.518974358974359,0.5641025641025641,0.537999037999038
individual,P11,valence,face,svm,10,10,5,0.5405594405594406,0.06183969501939621,0.5,0.5,0.6398601398601399,0.5333333333333333,0.5833333333333333,0.4705128205128205,0.4784962406015037
individual,P11,valence,face,svm,20,10,5,0.5405594405594406,0.06183969501939621,0.5,0.5,0.6398601398601399,0.5333333333333333,0.5833333333333333,0.4705128205128205,0.4784962406015037
individual,P11,valence,face,svm,5,5,5,0.5655594405594405,0.05175008921746696,0.5629370629370629,0.5,0.6398601398601399,0.5583333333333333,0.6444444444444445,0.3371794871794872,0.4354010025062657
individual,P11,valence,face,svm,all,all,5,0.5405594405594406,0.06183969501939621,0.5,0.5,0.6398601398601399,0.5333333333333333,0.5833333333333333,0.4705128205128205,0.4784962406015037
individual,P11,valence,multimodal,gnb,10,10,5,0.5300699300699301,0.07948683769724657,0.5,0.47902097902097907,0.6713286713286714,0.525,0.5454545454545455,0.43589743589743585,0.47077694235588974
individual,P11,valence,multimodal,gnb,20,20,5,0.5323426573426573,0.11761749008431575,0.5,0.4166666666666667,0.7167832167832169,0.525,0.5863888888888888,0.41923076923076924,0.46590914626720253
individual,P11,valence,multimodal,gnb,5,5,5,0.5467365967365967,0.0436604265930693,0.5629370629370629,0.5,0.5874125874125874,0.5416666666666667,0.6106060606060606,0.41923076923076924,0.4625438596491228
