participant,target,task,window_id,window_index,window_start_s,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,mean_11_image_neighbor_distance,feature_domain_reliability
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_54.000,55,54.0,4.086957030665954e-11,3.06660439764121,100.0,1.3099880359456375,2.3901764237130623,True,True,5.236311580463842,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_55.000,56,55.0,1.0396198808003765e-13,5.054707674228943,100.0,1.3099880359456375,2.3901764237130623,True,True,6.720542331477332,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_56.000,57,56.0,8.875724569327894e-149,28.842315127351544,100.0,1.3099880359456375,2.3901764237130623,True,True,30.601026704975876,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_57.000,58,57.0,1.331544528140566e-139,27.79527025522437,100.0,1.3099880359456375,2.3901764237130623,True,True,29.518201430769253,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_58.000,59,58.0,9.754066982130282e-23,8.875618228764774,100.0,1.3099880359456375,2.3901764237130623,True,True,10.081979219519113,beyond_image_reference
P19,valence,stack,stack_s1_0.000,1,0.0,0.0,83110.99081169444,100.0,1.3099880359456375,2.3901764237130623,True,True,83112.4042257716,beyond_image_reference
P19,valence,stack,stack_s1_1.000,2,1.0,0.0,1021.1222773972628,100.0,1.3099880359456375,2.3901764237130623,True,True,1022.6366402461292,beyond_image_reference
P19,valence,stack,stack_s1_2.000,3,2.0,0.0,65.1751427080054,100.0,1.3099880359456375,2.3901764237130623,True,True,66.89534272782998,beyond_image_reference
P19,valence,stack,stack_s1_3.000,4,3.0,0.0,71.81420567355485,100.0,1.3099880359456375,2.3901764237130623,True,True,73.44760599300143,beyond_image_reference
P19,valence,stack,stack_s1_4.000,5,4.0,1.0570176434866652e-172,31.671773890302354,100.0,1.3099880359456375,2.3901764237130623,True,True,33.311339774261945,beyond_image_reference
P19,valence,stack,stack_s1_5.000,6,5.0,1.819736085998964e-79,19.82707191901762,100.0,1.3099880359456375,2.3901764237130623,True,True,21.389689288498396,beyond_image_reference
P19,valence,stack,stack_s1_6.000,7,6.0,3.0589944599030197e-114,24.88625737170591,100.0,1.3099880359456375,2.3901764237130623,True,True,26.507681552892105,beyond_image_reference
P19,valence,stack,stack_s1_7.000,8,7.0,5.63634927137667e-21,7.933355323922995,100.0,1.3099880359456375,2.3901764237130623,True,True,9.347608878456443,beyond_image_reference
P19,valence,stack,stack_s1_8.000,9,8.0,6.5844850667811e-180,32.76553554800947,100.0,1.3099880359456375,2.3901764237130623,True,True,34.254236303447044,beyond_image_reference
P19,valence,stack,stack_s1_9.000,10,9.0,1.3667162706240964e-306,44.25708450846156,100.0,1.3099880359456375,2.3901764237130623,True,True,45.76685479706855,beyond_image_reference
P19,valence,stack,stack_s1_10.000,11,10.0,0.0,47.55173077488515,100.0,1.3099880359456375,2.3901764237130623,True,True,49.09737687731028,beyond_image_reference
P19,valence,stack,stack_s1_11.000,12,11.0,0.0,48.695646412605605,100.0,1.3099880359456375,2.3901764237130623,True,True,50.281107562410035,beyond_image_reference
P19,valence,stack,stack_s1_12.000,13,12.0,0.0,48.39141995273503,100.0,1.3099880359456375,2.3901764237130623,True,True,50.04701489350655,beyond_image_reference
P19,valence,stack,stack_s1_13.000,14,13.0,4.1866816095755036e-157,29.341579399981995,100.0,1.3099880359456375,2.3901764237130623,True,True,31.250510928693327,beyond_image_reference
P19,valence,stack,stack_s1_14.000,15,14.0,2.747111583658387e-75,18.637590066014567,100.0,1.3099880359456375,2.3901764237130623,True,True,20.38884127388136,beyond_image_reference
P19,valence,stack,stack_s1_15.000,16,15.0,0.0,45.97224719747297,100.0,1.3099880359456375,2.3901764237130623,True,True,47.62846069853433,beyond_image_reference
P19,valence,stack,stack_s1_16.000,17,16.0,1.6e-322,45.21399606869755,100.0,1.3099880359456375,2.3901764237130623,True,True,46.86241201088237,beyond_image_reference
P19,valence,stack,stack_s1_17.000,18,17.0,1.7713266293996542e-293,42.76355616712647,100.0,1.3099880359456375,2.3901764237130623,True,True,44.46512743734205,beyond_image_reference
