branch,target,task_type,metric,n_participants,mean,sd,median,q1,q3,iqr
modality_agnostic,arousal,Observation,complete_top3_coverage,46,0.9127540464112537,0.09523670260538158,0.9121823529290287,0.8368877128974166,1.0,0.1631122871025834
modality_agnostic,arousal,Observation,nearest_image_distance,46,4.319802327949333,4.868158213721508,3.1722345532681446,2.062793164695102,4.923172745840865,2.8603795811457626
modality_agnostic,arousal,Observation,outside_selected_fraction,46,0.15665750590785868,0.12644540620398959,0.11929756640924802,0.06242417937346857,0.21651918424353375,0.15409500487006517
modality_agnostic,arousal,Observation,median_abs_image_z,46,1.1267494628371926,0.5958245318653265,0.8792249884975043,0.7684725968836383,1.2874594206324936,0.5189868237488553
modality_agnostic,arousal,Interaction,task_consensus_p_high,44,0.5022519054831437,0.27621121835091356,0.5043780339265488,0.35615032673153846,0.6819951490359248,0.3258448223043864
modality_agnostic,arousal,Interaction,absolute_margin,44,0.22099229282598162,0.16258534808270936,0.17585656879426143,0.092307956735173,0.3662921833198753,0.2739842265847023
modality_agnostic,arousal,Interaction,unanimous_agreement_rate,44,0.6288988225040751,0.24484098207278135,0.6704385043491081,0.4648157787821847,0.8151815365000297,0.35036575771784495
modality_agnostic,arousal,Interaction,disagreement_rate,44,0.3711011774959249,0.24484098207278135,0.3295614956508919,0.18481846349997033,0.5351842212178153,0.35036575771784495
modality_agnostic,arousal,Interaction,mean_top3_probability_range,44,0.3438857448509211,0.19028182589160259,0.3273372885653426,0.22191385651922874,0.44654012618913386,0.22462626966990512
modality_agnostic,arousal,Interaction,median_top3_probability_range,44,0.3319980084831798,0.21828836236395233,0.3016338330990259,0.18593919630176844,0.44722746696447535,0.2612882706627069
modality_agnostic,arousal,Interaction,complete_top3_coverage,44,0.9441934292785312,0.059042987342885156,0.934649446213168,0.902923280981335,1.0,0.09707671901866499
modality_agnostic,arousal,Interaction,nearest_image_distance,44,5.251858431199595,5.481060238068213,3.655960651911832,2.315199196922918,5.590583647033984,3.275384450111066
modality_agnostic,arousal,Interaction,outside_selected_fraction,44,0.18942698527252153,0.14787822756630836,0.16176919589939487,0.08440942927043399,0.24533004589395568,0.1609206166235217
modality_agnostic,arousal,Interaction,median_abs_image_z,44,1.2882106350688323,0.7434543645877473,1.0378291309867325,0.8290392028439606,1.428515400481408,0.5994761976374474
modality_agnostic,arousal,Alone,task_consensus_p_high,44,0.47356539710130696,0.3167474087046699,0.4243239847185205,0.25327859102081374,0.718632339908734,0.46535374888792025
