branch,target,participant,comparison,left_condition,right_condition,metric,left_value,right_value,delta_left_minus_right,included
eeg_only,arousal,P35,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.7096774193548387,0.7105263157894737,-0.000848896434634927,True
eeg_only,arousal,P36,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.71875,0.3088235294117647,0.4099264705882353,True
eeg_only,arousal,P37,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.2535211267605634,0.2241379310344827,0.02938319572608067,True
eeg_only,arousal,P38,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.4354838709677419,0.5454545454545454,-0.10997067448680353,True
eeg_only,arousal,P39,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.75,0.9552238805970148,-0.2052238805970148,True
eeg_only,arousal,P40,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.8985507246376812,0.7931034482758621,0.10544727636181905,True
eeg_only,arousal,P41,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.9032258064516128,0.9642857142857144,-0.061059907834101645,True
eeg_only,arousal,P42,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.9615384615384616,0.8939393939393939,0.06759906759906764,True
eeg_only,arousal,P43,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.463768115942029,0.543859649122807,-0.08009153318077805,True
eeg_only,arousal,P44,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.967741935483871,0.96,0.007741935483871032,True
eeg_only,arousal,P45,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.8,0.4852941176470588,0.3147058823529412,True
eeg_only,arousal,P46,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.6567164179104478,0.5689655172413793,0.08775090066906843,True
eeg_only,arousal,P01,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.4571428571428571,0.3492063492063492,0.10793650793650789,True
eeg_only,arousal,P02,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.1818181818181818,0.3269230769230769,-0.14510489510489513,True
eeg_only,arousal,P03,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.3469387755102041,0.3333333333333333,0.013605442176870763,True
eeg_only,arousal,P04,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.1506849315068493,0.1724137931034483,-0.02172886159659898,True
eeg_only,arousal,P05,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.532258064516129,0.3529411764705882,0.1793168880455408,True
eeg_only,arousal,P06,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.2857142857142857,0.25,0.0357142857142857,True
eeg_only,arousal,P07,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.2028985507246377,0.3275862068965517,-0.12468765617191402,True
eeg_only,arousal,P08,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.375,0.56,-0.18500000000000005,True
eeg_only,arousal,P09,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.0,0.0746268656716417,-0.0746268656716417,True
eeg_only,arousal,P10,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.4027777777777778,0.7384615384615385,-0.3356837606837607,True
eeg_only,arousal,P11,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.4307692307692308,0.4210526315789473,0.009716599190283504,True
eeg_only,arousal,P12,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.8888888888888888,0.8676470588235294,0.0212418300653594,True
eeg_only,arousal,P13,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.391304347826087,0.3529411764705882,0.03836317135549877,True
eeg_only,arousal,P14,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.3709677419354839,0.2307692307692307,0.14019851116625318,True
eeg_only,arousal,P15,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.08,0.0434782608695652,0.0365217391304348,True
eeg_only,arousal,P16,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.1142857142857142,0.1639344262295081,-0.0496487119437939,True
eeg_only,arousal,P17,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.34375,0.2592592592592592,0.08449074074074081,True
eeg_only,arousal,P18,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.2222222222222222,0.2285714285714285,-0.006349206349206299,True
eeg_only,arousal,P19,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.0588235294117647,0.1864406779661017,-0.127617148554337,True
eeg_only,arousal,P20,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.4838709677419355,0.4647887323943662,0.01908223534756931,True
eeg_only,arousal,P21,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.7608695652173914,0.7313432835820896,0.0295262816353018,True
eeg_only,arousal,P22,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.25,0.2,0.04999999999999999,True
eeg_only,arousal,P23,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.4590163934426229,0.1428571428571428,0.3161592505854801,True
eeg_only,arousal,P24,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.2142857142857142,0.3387096774193548,-0.12442396313364062,True
eeg_only,arousal,P25,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.2258064516129032,0.1029411764705882,0.12286527514231499,True
eeg_only,arousal,P26,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.6612903225806451,0.3571428571428571,0.30414746543778803,True
eeg_only,arousal,P27,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.4857142857142857,0.5166666666666667,-0.03095238095238101,True
eeg_only,arousal,P28,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.25,0.3188405797101449,-0.0688405797101449,True
eeg_only,arousal,P29,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.4516129032258064,0.24,0.2116129032258064,True
eeg_only,arousal,P30,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.0357142857142857,0.1940298507462686,-0.1583155650319829,True
eeg_only,arousal,P31,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.7285714285714285,0.5932203389830508,0.13535108958837772,True
eeg_only,arousal,P32,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.0,0.0294117647058823,-0.0294117647058823,True
eeg_only,arousal,P33,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.6,0.5277777777777778,0.07222222222222219,True
eeg_only,arousal,P34,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.144927536231884,0.3,-0.15507246376811598,True
eeg_only,arousal,P35,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.2903225806451613,0.2894736842105263,0.0008488964346349825,True
eeg_only,arousal,P36,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.28125,0.6911764705882353,-0.4099264705882353,True
eeg_only,arousal,P37,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.7464788732394366,0.7758620689655172,-0.029383195726080613,True
eeg_only,arousal,P38,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.5645161290322581,0.4545454545454545,0.10997067448680364,True
eeg_only,arousal,P39,fault_effect,FAULTY_FAST,CONTROL_FAST,disagreement_rate,0.25,0.044776119402985,0.205223880597015,True
