task_type,model_scope,target,modality,model,input_representation,ica_status,label_condition,experiment,best_primary_metric,primary_metric_name,secondary_metric,secondary_metric_name,participant_if_individual,feature_count_or_family,channel_subset,hyperparameters_if_available,n_participants,source_run,source_file,notes
classification,general LOSO,valence,multimodal,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5044689140361264,balanced_accuracy,0.5279861273457714,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4989305903306704,balanced_accuracy,0.5382662988639564,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4868199025367503,balanced_accuracy,0.5054008013324129,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4960907381189723,balanced_accuracy,0.5081540902837428,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4976581621191491,balanced_accuracy,0.5172130637372642,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5022847591061587,balanced_accuracy,0.5263497951085697,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4993125731217316,balanced_accuracy,0.5553610090977752,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5029175041580047,balanced_accuracy,0.556132624729758,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5033418443297009,balanced_accuracy,0.5684954386984914,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,valence,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.510580376250959,balanced_accuracy,0.533860313441646,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4734432234432234,balanced_accuracy,0.5106719367588932,accuracy,P01,10,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4834554334554334,balanced_accuracy,0.5189723320158103,accuracy,P01,20,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4855311355311354,balanced_accuracy,0.5268774703557313,accuracy,P01,5,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.472039072039072,balanced_accuracy,0.5007905138339921,accuracy,P01,all,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
