eeg_sd__C3,eeg_sd__C4,eeg_sd__Fz,eeg_hm__Cz,eeg_hc__Cz,eeg_bp_delta__Fz,eeg_se_delta__PO7,eeg_se_theta__C4,eeg_se_theta__Fz,eeg_bp_alpha__C3,eeg_bp_alpha__PO8,eeg_se_alpha__C3,eeg_se_alpha__Fz,eeg_se_alpha__PO7,eeg_se_alpha__Pz,eeg_bp_beta__C3,eeg_bp_beta__C4,eeg_bp_beta__Cz,eeg_bp_beta__Fz,eeg_bp_beta__Pz
3.830549751259053,3.826989734621714,7.947367321252591,0.3701587394313478,1.6197270142930218,25.57313459340377,1.9056694846414983,2.247999653143956,1.9078288916817332,2.042807162671081,3.79109659680977,2.2749072305177265,2.2300598687804385,2.108988644654584,2.288336751120837,7.03315405833454,6.263415997062916,4.777376094792858,13.683691111702473,2.023115026282901
4.23108681647442,3.3436600262734677,6.549056511193431,0.2939194142273286,1.9813934383462632,5.497384257484283,1.9702556261378232,2.267620237781913,2.000373889504496,2.017431987864436,2.8792129710959866,2.2555229917035886,2.18458339772869,2.301310286575469,2.225524969535717,6.032768070883724,4.523602583547663,7.701328902968719,15.337434825459388,2.273677149290529
3.960651382261202,4.424249378648751,6.817584078190332,0.2989413707101343,1.9884545675599457,10.443550798653437,1.8907944167452444,2.188058157418294,2.157599851658868,2.792263523392895,4.658115762884365,2.232186437351339,2.278444400774441,2.199065546771248,2.1361663600347005,5.074087786547628,4.573228538324383,3.75632152647795,17.85007795523989,4.376644238567584
4.593094373068865,3.487564690634144,10.375649414476287,0.3037876083516599,2.022829257244414,57.33497754600477,1.9321663109681049,2.2600410729212537,2.020324927724232,1.7284885233564546,2.820027087453305,2.2369307908604426,2.2200498454278987,2.248666465567014,2.216160985731232,4.123620398485074,3.0972615264896226,4.501626040947537,9.661465853946074,2.3660051831612883
3.86127698087404,3.7383325913557406,8.807310192912439,0.348771275415617,1.6594769875983195,41.344657050189966,1.8717181638375744,2.24963637452511,2.209692015997941,1.8442311901531487,5.403421474843108,2.2376253458915643,2.2648814019160515,1.9940535554900516,1.9433548083741865,4.933302439128522,6.584453430083122,10.471493320623996,16.575105392385186,2.1254643652427494
3.3441030350664764,3.4548361239281715,7.83846345584014,0.3894886719937334,1.58981386394615,14.146726761531522,1.9322225099581067,2.1096279883517925,2.017796851533764,1.3178302646580942,2.189266914585349,2.11875008698024,2.124517737228972,2.26788922308681,2.18627933979804,5.610196232994793,5.454945048413211,4.964832401940003,16.341238738012798,2.9674077136557977
3.8081940209700655,3.944437451974583,8.894677727268528,0.3175886132834989,1.9238559497312444,38.19853375896335,1.694203632944263,2.0293965549383377,2.247561057788868,1.5294073904444812,3.446943195090237,2.274095949132656,1.844694222629692,1.86188181073856,2.0106372442871123,3.1932706600612524,3.678599382446943,6.858413428768034,8.583357682353725,2.5151780646555437
4.407515100765057,4.135484009307509,6.732111181177942,0.4069948906386211,1.4541886018353385,8.050781385671229,1.878238897824948,2.159299420016038,2.2193872140561544,2.117110531691276,5.268791298779557,1.574282101116995,2.3180351316443297,2.2286999044562115,2.1633940696831533,5.895640970076517,2.9487618174121155,6.345268137037353,12.112581504568064,3.2721067728592548
3.6480275220269047,3.5520972835387696,9.518654135214112,0.3786824363311344,1.6113154831484953,32.33722490694613,1.934310648222567,2.2724839162229564,2.063403820307854,1.2798583384062132,4.335339902129885,2.160305153882749,1.949030327814781,1.691650000905761,2.1226412659361054,3.0153379764748083,6.528546140184225,7.768878832721757,12.53731136637092,1.6846831484626883
4.353484492349006,4.736104076119028,10.6449012421217,0.2905352668484037,1.9830789930617323,63.67801391305793,1.8628434881321505,2.261624794227917,2.2499406217028186,3.684793687176604,5.995614336619927,2.1090453653319754,2.232660507376265,1.991122542902804,1.88617050831792,8.650539967740775,6.198852340927076,9.444786854346342,16.794768226363573,2.4775454501849894
