participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P03,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.495,0.11205157542647741,"[0.35, 0.6166666666666667, 0.6, 0.45, 0.4583333333333333]",0.5181818181818182,30,24,54
P03,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.48166666666666663,0.03456073558887953,"[0.45, 0.5333333333333333, 0.5, 0.4666666666666667, 0.4583333333333333]",0.5,30,24,54
P03,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.495,0.12213380640374176,"[0.6, 0.6333333333333333, 0.3333333333333333, 0.45, 0.4583333333333333]",0.5181818181818182,30,24,54
P03,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5016666666666667,0.1588150566609546,"[0.6333333333333333, 0.55, 0.25, 0.45, 0.625]",0.5218181818181817,30,24,54
P03,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5466666666666666,0.22373098926066448,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.9166666666666667, 0.3333333333333333]",0.5690909090909091,30,23,53
P03,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.4966666666666667,0.1276932087291864,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.6666666666666667, 0.3333333333333333]",0.5290909090909091,30,23,53
P03,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.525,0.181429508808977,"[0.35, 0.7, 0.5333333333333333, 0.7083333333333333, 0.3333333333333333]",0.5472727272727272,30,23,53
P03,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.45499999999999996,0.1946863574516144,"[0.5166666666666667, 0.43333333333333335, 0.45, 0.7083333333333333, 0.16666666666666666]",0.4709090909090909,30,23,53
P03,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.4883333333333334,0.21193552478682445,"[0.6166666666666667, 0.3333333333333333, 0.2833333333333333, 0.7916666666666667, 0.41666666666666663]",0.4945454545454545,30,23,53
P03,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.4766666666666667,0.15936070197301885,"[0.43333333333333335, 0.5166666666666667, 0.26666666666666666, 0.7083333333333333, 0.4583333333333333]",0.4945454545454545,30,23,53
P03,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.44333333333333336,0.13312483698477243,"[0.43333333333333335, 0.43333333333333335, 0.35, 0.6666666666666667, 0.3333333333333333]",0.4745454545454545,30,23,53
P03,arousal,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5050000000000001,0.14476993242152647,"[0.5166666666666667, 0.35, 0.3666666666666667, 0.6666666666666667, 0.625]",0.5145454545454545,30,23,53
P03,arousal,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.37333333333333335,0.09617692030835674,"[0.3333333333333333, 0.5166666666666667, 0.26666666666666666, 0.41666666666666663, 0.3333333333333333]",0.39636363636363636,30,23,53
P03,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5954761904761905,0.1902256536845856,"[0.7333333333333334, 0.3333333333333333, 0.8035714285714286, 0.48214285714285715, 0.625]",0.6309090909090909,22,32,54
P03,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.6097619047619048,0.18209499838099386,"[0.7333333333333334, 0.3333333333333333, 0.8035714285714286, 0.5535714285714286, 0.625]",0.6490909090909092,22,32,54
P03,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5585714285714285,0.1566537301070823,"[0.7333333333333334, 0.3333333333333333, 0.6607142857142857, 0.48214285714285715, 0.5833333333333333]",0.5745454545454545,22,32,54
P03,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.49428571428571433,0.16634833545149463,"[0.7333333333333334, 0.3333333333333333, 0.4642857142857143, 0.35714285714285715, 0.5833333333333333]",0.52,22,32,54
P03,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5278571428571428,0.19150318375357395,"[0.5333333333333333, 0.43333333333333335, 0.8035714285714286, 0.2857142857142857, 0.5833333333333333]",0.5563636363636364,22,32,54
P03,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.516904761904762,0.20483179870234308,"[0.7166666666666667, 0.35, 0.7321428571428572, 0.2857142857142857, 0.5]",0.5563636363636364,22,32,54
P03,valence,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5578571428571429,0.1003981585958284,"[0.48214285714285715, 0.7321428571428572, 0.5333333333333333, 0.5416666666666667, 0.5]",0.5836363636363636,21,32,53
P03,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.4852380952380952,0.08389521458032315,"[0.4107142857142857, 0.6071428571428572, 0.5333333333333333, 0.4583333333333333, 0.41666666666666663]",0.5072727272727272,21,32,53
P03,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6054761904761905,0.08910537342773527,"[0.5535714285714286, 0.7321428571428572, 0.5333333333333333, 0.5416666666666667, 0.6666666666666667]",0.6418181818181818,21,32,53
