participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,absolute_rank
P09,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.4878676470588236,0.07182773570089032,"[0.53125, 0.5625, 0.5, 0.375, 0.47058823529411764]",0.55,39,81,120,3
P09,arousal,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6178571428571429,0.08808342303331151,"[0.625, 0.65625, 0.7410714285714286, 0.5267857142857143, 0.5401785714285714]",0.691304347826087,37,80,117,1
P09,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6160714285714286,0.11191920657787213,"[0.5625, 0.65625, 0.7946428571428572, 0.5267857142857143, 0.5401785714285714]",0.7007246376811593,37,80,117,2
P09,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6142857142857142,0.07716889441547109,"[0.625, 0.625, 0.7232142857142857, 0.5892857142857143, 0.5089285714285714]",0.7090579710144927,37,80,117,3
P09,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5768253968253969,0.10904744576128189,"[0.75, 0.4857142857142857, 0.4928571428571429, 0.5444444444444445, 0.6111111111111112]",0.6166666666666666,48,72,120,1
P09,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5717460317460318,0.12524176669935766,"[0.7928571428571429, 0.4857142857142857, 0.5357142857142857, 0.5333333333333333, 0.5111111111111111]",0.5833333333333333,48,72,120,2
P09,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5477777777777778,0.08693356774170925,"[0.6857142857142857, 0.5357142857142857, 0.5285714285714286, 0.5444444444444445, 0.4444444444444444]",0.55,48,72,120,3
P09,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5525396825396826,0.08300274563117126,"[0.6571428571428571, 0.6214285714285714, 0.48809523809523814, 0.5277777777777778, 0.46825396825396826]",0.571376811594203,47,70,117,1
P09,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5407936507936507,0.08465244701179295,"[0.6357142857142857, 0.6, 0.45238095238095233, 0.5634920634920635, 0.45238095238095233]",0.5460144927536232,47,70,117,2
P09,valence,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5168253968253967,0.10854520243906303,"[0.6571428571428571, 0.5857142857142856, 0.45238095238095233, 0.5079365079365079, 0.38095238095238093]",0.5282608695652173,47,70,117,3
P10,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5629370629370629,0.10700100523146404,"[0.5, 0.465034965034965, 0.7412587412587412, 0.5419580419580419, 0.5664335664335665]",0.5666666666666667,56,64,120,1
P10,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5579254079254079,0.07657972392351886,"[0.5833333333333333, 0.42657342657342656, 0.6258741258741258, 0.5874125874125874, 0.5664335664335665]",0.5583333333333333,56,64,120,2
P10,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5516317016317016,0.09739748130158057,"[0.5833333333333334, 0.6258741258741258, 0.6503496503496503, 0.4300699300699301, 0.46853146853146854]",0.5666666666666667,56,64,120,3
P10,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5365384615384615,0.11346207721272417,"[0.375, 0.6188811188811189, 0.6188811188811189, 0.458041958041958, 0.6118881118881119]",0.5416666666666666,56,64,120,1
