participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,112,90,22,45,67,0.6837606837606838,0.7272727272727273
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,112,89,23,45,67,0.30952380952380953,0.30434782608695654
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,112,89,23,45,67,0.5436507936507937,0.5652173913043478
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,112,90,22,45,67,0.5512820512820513,0.5909090909090909
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,112,90,22,45,67,0.5299145299145299,0.5454545454545454
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,112,90,22,45,67,0.7008547008547008,0.7272727272727273
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,112,89,23,45,67,0.32936507936507936,0.30434782608695654
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,112,89,23,45,67,0.5238095238095238,0.5652173913043478
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,112,90,22,45,67,0.6068376068376069,0.6363636363636364
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,112,90,22,45,67,0.5299145299145299,0.5454545454545454
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,112,90,22,45,67,0.6837606837606838,0.7272727272727273
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,112,89,23,45,67,0.4563492063492064,0.43478260869565216
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,112,89,23,45,67,0.5992063492063493,0.6086956521739131
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,112,90,22,45,67,0.5512820512820513,0.5909090909090909
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,112,90,22,45,67,0.6282051282051282,0.6818181818181818
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,112,90,22,45,67,0.7393162393162394,0.7727272727272727
P02,valence,logreg,face,face_geometry,all_face,5,primary,10,1,5,5,93,74,19,29,64,0.6794871794871795,0.6842105263157895
P02,valence,logreg,face,face_geometry,all_face,5,primary,10,2,5,5,93,74,19,29,64,0.5448717948717949,0.6842105263157895
