mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P19,valence,face,gnb,20,10,3,"{""classifier__var_smoothing"": 1e-11}",0.3185185185185186
individual,P19,valence,face,gnb,20,10,4,"{""classifier__var_smoothing"": 1e-11}",0.4291005291005291
individual,P19,valence,face,gnb,20,10,5,"{""classifier__var_smoothing"": 1e-11}",0.3240740740740741
individual,P19,valence,multimodal,knn,all,all,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.3592592592592592
individual,P19,valence,multimodal,knn,all,all,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.3462962962962962
individual,P19,valence,multimodal,knn,all,all,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.3222222222222222
individual,P19,valence,multimodal,knn,all,all,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3706349206349206
individual,P19,valence,multimodal,knn,all,all,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.3613756613756613
individual,P19,valence,multimodal,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3666666666666666
individual,P19,valence,multimodal,knn,5,5,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.3537037037037036
individual,P19,valence,multimodal,knn,5,5,3,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.3092592592592593
individual,P19,valence,multimodal,knn,5,5,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3743386243386243
individual,P19,valence,multimodal,knn,5,5,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.35
individual,P19,valence,multimodal,knn,10,10,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.3481481481481481
individual,P19,valence,multimodal,knn,10,10,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.3851851851851851
individual,P19,valence,multimodal,knn,10,10,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.3129629629629629
individual,P19,valence,multimodal,knn,10,10,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.3314814814814815
individual,P19,valence,multimodal,knn,10,10,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.3796296296296296
