participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,modality
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,5,10,5,114,92,22,52,62,0.3583333333333333,0.3636363636363636,eeg
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,1,8,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174,eeg
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,2,8,5,114,91,23,52,62,0.3961538461538461,0.4347826086956521,eeg
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,3,8,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131,eeg
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,4,8,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478,eeg
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,5,8,5,114,92,22,52,62,0.575,0.5909090909090909,eeg
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,1,8,5,114,91,23,52,62,0.5615384615384615,0.6086956521739131,eeg
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,2,8,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174,eeg
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,3,8,5,114,91,23,52,62,0.6477272727272727,0.6521739130434783,eeg
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,4,8,5,114,91,23,52,62,0.5,0.5217391304347826,eeg
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,5,8,5,114,92,22,52,62,0.55,0.5909090909090909,eeg
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,1,8,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478,eeg
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,2,8,5,114,91,23,52,62,0.4346153846153846,0.4782608695652174,eeg
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,3,8,5,114,91,23,52,62,0.6515151515151515,0.6521739130434783,eeg
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,4,8,5,114,91,23,52,62,0.6401515151515151,0.6521739130434783,eeg
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,5,8,5,114,92,22,52,62,0.5666666666666667,0.5909090909090909,eeg
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,1,10,5,114,91,23,52,62,0.3692307692307692,0.391304347826087,eeg
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,2,10,5,114,91,23,52,62,0.4192307692307692,0.4347826086956521,eeg
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,3,10,5,114,91,23,52,62,0.6098484848484849,0.6086956521739131,eeg
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,4,10,5,114,91,23,52,62,0.3939393939393939,0.391304347826087,eeg
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,5,10,5,114,92,22,52,62,0.35,0.3636363636363636,eeg
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,1,10,5,114,91,23,52,62,0.4461538461538461,0.4782608695652174,eeg
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,2,10,5,114,91,23,52,62,0.4076923076923077,0.4347826086956521,eeg
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,3,10,5,114,91,23,52,62,0.6931818181818181,0.6956521739130435,eeg
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,4,10,5,114,91,23,52,62,0.5,0.5217391304347826,eeg
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,5,10,5,114,92,22,52,62,0.45,0.4545454545454545,eeg
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,1,10,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478,eeg
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,2,10,5,114,91,23,52,62,0.4346153846153846,0.4782608695652174,eeg
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,3,10,5,114,91,23,52,62,0.606060606060606,0.6086956521739131,eeg
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,4,10,5,114,91,23,52,62,0.6401515151515151,0.6521739130434783,eeg
P01,valence,gnb,paper_compact,frontal_central,10,secondary,32,5,10,5,114,92,22,52,62,0.5666666666666667,0.5909090909090909,eeg
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,1,8,5,112,89,23,45,67,0.4325396825396825,0.4782608695652174,eeg
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,2,8,5,112,89,23,45,67,0.4722222222222222,0.4782608695652174,eeg
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,3,8,5,112,90,22,45,67,0.3632478632478633,0.4090909090909091,eeg
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,4,8,5,112,90,22,45,67,0.6965811965811965,0.6818181818181818,eeg
P01,arousal,logreg,all_eeg,all_channels,8,primary,120,5,8,5,112,90,22,45,67,0.4786324786324786,0.5454545454545454,eeg
P01,arousal,svm,all_eeg,all_channels,8,primary,120,1,8,5,112,89,23,45,67,0.376984126984127,0.4347826086956521,eeg
P01,arousal,svm,all_eeg,all_channels,8,primary,120,2,8,5,112,89,23,45,67,0.5,0.6086956521739131,eeg
P01,arousal,svm,all_eeg,all_channels,8,primary,120,3,8,5,112,90,22,45,67,0.3247863247863247,0.3636363636363636,eeg
P01,arousal,svm,all_eeg,all_channels,8,primary,120,4,8,5,112,90,22,45,67,0.7307692307692308,0.6818181818181818,eeg
P01,arousal,svm,all_eeg,all_channels,8,primary,120,5,8,5,112,90,22,45,67,0.5,0.5909090909090909,eeg
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,1,8,5,112,89,23,45,67,0.4166666666666666,0.4347826086956521,eeg
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,2,8,5,112,89,23,45,67,0.4722222222222222,0.4782608695652174,eeg
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,3,8,5,112,90,22,45,67,0.4401709401709401,0.5,eeg
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,4,8,5,112,90,22,45,67,0.5170940170940171,0.5909090909090909,eeg
