participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P18,arousal,eeg,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.5952797202797203,0.1178536515590919,"[0.5833333333333334, 0.5833333333333334, 0.4195804195804196, 0.6477272727272727, 0.7424242424242424]",0.5949275362318841,61,57,118
P18,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.6148601398601399,0.0900920904162555,"[0.7083333333333333, 0.5833333333333333, 0.5833333333333334, 0.7027972027972028, 0.49650349650349646]",0.6166666666666667,62,58,120
P18,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5794871794871795,0.0630211144484823,"[0.5, 0.625, 0.548951048951049, 0.5643939393939394, 0.6590909090909092]",0.5768115942028985,61,57,118
P18,valence,eeg,logreg,all_eeg,all_channels,10,primary,120,10,5,0.6289627039627039,0.0859840042723878,"[0.6713286713286714, 0.5416666666666667, 0.5416666666666667, 0.6515151515151515, 0.7386363636363636]",0.6282608695652174,57,61,118
P18,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.4796620046620046,0.1743547478078658,"[0.48951048951048953, 0.36713286713286714, 0.75, 0.5, 0.2916666666666667]",0.4833333333333333,58,62,120
P18,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.6342657342657343,0.0559020791185821,"[0.7167832167832169, 0.6666666666666666, 0.5833333333333334, 0.6022727272727273, 0.6022727272727273]",0.635144927536232,57,61,118
P19,arousal,eeg,logreg,all_eeg,all_channels,10,primary,120,10,5,0.7041958041958042,0.0309396109169635,"[0.7167832167832169, 0.6958041958041958, 0.6573426573426573, 0.7412587412587412, 0.7097902097902098]",0.7083333333333334,65,55,120
P19,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.6013986013986015,0.1114227648190783,"[0.5874125874125874, 0.6713286713286714, 0.7482517482517483, 0.534965034965035, 0.465034965034965]",0.6,65,55,120
P19,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.7041958041958042,0.0309396109169635,"[0.7167832167832169, 0.6958041958041958, 0.6573426573426573, 0.7412587412587412, 0.7097902097902098]",0.7083333333333334,65,55,120
P19,valence,eeg,svm,paper_compact,all_channels,8,secondary,64,8,5,0.6229166666666667,0.0238448398797074,"[0.6222222222222222, 0.5888888888888889, 0.6222222222222222, 0.65625, 0.625]",0.6416666666666666,43,77,120
