participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,4,10,5,112,90,22,45,67,0.5170940170940171,0.5909090909090909
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,5,10,5,112,90,22,45,67,0.5726495726495726,0.6363636363636364
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,1,8,5,112,89,23,45,67,0.4920634920634921,0.4782608695652174
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,2,8,5,112,89,23,45,67,0.5595238095238095,0.6086956521739131
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,3,8,5,112,90,22,45,67,0.4358974358974359,0.45454545454545453
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,4,8,5,112,90,22,45,67,0.6452991452991452,0.6818181818181818
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,5,8,5,112,90,22,45,67,0.5512820512820513,0.5909090909090909
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,1,8,5,112,89,23,45,67,0.42063492063492064,0.391304347826087
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,2,8,5,112,89,23,45,67,0.5,0.6086956521739131
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,3,8,5,112,90,22,45,67,0.47435897435897434,0.5
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,4,8,5,112,90,22,45,67,0.5854700854700855,0.5909090909090909
P01,arousal,svm,paper_compact,all_channels,8,secondary,64,5,8,5,112,90,22,45,67,0.5341880341880342,0.5909090909090909
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,1,8,5,112,89,23,45,67,0.4563492063492064,0.43478260869565216
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,2,8,5,112,89,23,45,67,0.46825396825396826,0.5217391304347826
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,3,8,5,112,90,22,45,67,0.32478632478632474,0.36363636363636365
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,4,8,5,112,90,22,45,67,0.46153846153846156,0.5454545454545454
P01,arousal,gnb,paper_compact,all_channels,8,secondary,64,5,8,5,112,90,22,45,67,0.6282051282051282,0.6818181818181818
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,1,10,5,112,89,23,45,67,0.42063492063492064,0.391304347826087
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,2,10,5,112,89,23,45,67,0.43253968253968256,0.4782608695652174
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,3,10,5,112,90,22,45,67,0.5299145299145299,0.5454545454545454
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,4,10,5,112,90,22,45,67,0.6837606837606838,0.7272727272727273
P01,arousal,logreg,paper_compact,all_channels,10,secondary,64,5,10,5,112,90,22,45,67,0.5897435897435898,0.6363636363636364
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,1,10,5,112,89,23,45,67,0.44047619047619047,0.391304347826087
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,2,10,5,112,89,23,45,67,0.5,0.6086956521739131
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,3,10,5,112,90,22,45,67,0.4188034188034188,0.45454545454545453
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,4,10,5,112,90,22,45,67,0.5726495726495726,0.6363636363636364
P01,arousal,svm,paper_compact,all_channels,10,secondary,64,5,10,5,112,90,22,45,67,0.5683760683760684,0.5909090909090909
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,1,10,5,112,89,23,45,67,0.42063492063492064,0.391304347826087
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,2,10,5,112,89,23,45,67,0.5238095238095238,0.5652173913043478
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,3,10,5,112,90,22,45,67,0.4017094017094017,0.45454545454545453
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,4,10,5,112,90,22,45,67,0.46153846153846156,0.5454545454545454
P01,arousal,gnb,paper_compact,all_channels,10,secondary,64,5,10,5,112,90,22,45,67,0.5897435897435898,0.6363636363636364
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,1,8,5,112,89,23,45,67,0.42063492063492064,0.391304347826087
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,2,8,5,112,89,23,45,67,0.5952380952380952,0.6521739130434783
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,3,8,5,112,90,22,45,67,0.4358974358974359,0.45454545454545453
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,4,8,5,112,90,22,45,67,0.5341880341880342,0.5909090909090909
P01,arousal,logreg,paper_compact,frontal_central,8,secondary,32,5,8,5,112,90,22,45,67,0.6239316239316239,0.6363636363636364
P01,arousal,svm,paper_compact,frontal_central,8,secondary,32,1,8,5,112,89,23,45,67,0.42063492063492064,0.391304347826087
P01,arousal,svm,paper_compact,frontal_central,8,secondary,32,2,8,5,112,89,23,45,67,0.5,0.6086956521739131
P01,arousal,svm,paper_compact,frontal_central,8,secondary,32,3,8,5,112,90,22,45,67,0.49145299145299143,0.5
P01,arousal,svm,paper_compact,frontal_central,8,secondary,32,4,8,5,112,90,22,45,67,0.5897435897435898,0.6363636363636364
P01,arousal,svm,paper_compact,frontal_central,8,secondary,32,5,8,5,112,90,22,45,67,0.6794871794871795,0.6818181818181818
P01,arousal,gnb,paper_compact,frontal_central,8,secondary,32,1,8,5,112,89,23,45,67,0.4563492063492064,0.43478260869565216
P01,arousal,gnb,paper_compact,frontal_central,8,secondary,32,2,8,5,112,89,23,45,67,0.6150793650793651,0.6521739130434783
P01,arousal,gnb,paper_compact,frontal_central,8,secondary,32,3,8,5,112,90,22,45,67,0.34615384615384615,0.4090909090909091
P01,arousal,gnb,paper_compact,frontal_central,8,secondary,32,4,8,5,112,90,22,45,67,0.6666666666666666,0.7272727272727273
P01,arousal,gnb,paper_compact,frontal_central,8,secondary,32,5,8,5,112,90,22,45,67,0.5512820512820513,0.5909090909090909
P01,arousal,logreg,paper_compact,frontal_central,10,secondary,32,1,10,5,112,89,23,45,67,0.5119047619047619,0.4782608695652174
P01,arousal,logreg,paper_compact,frontal_central,10,secondary,32,2,10,5,112,89,23,45,67,0.6150793650793651,0.6521739130434783
P01,arousal,logreg,paper_compact,frontal_central,10,secondary,32,3,10,5,112,90,22,45,67,0.5854700854700855,0.5909090909090909
P01,arousal,logreg,paper_compact,frontal_central,10,secondary,32,4,10,5,112,90,22,45,67,0.49572649572649574,0.5454545454545454
P01,arousal,logreg,paper_compact,frontal_central,10,secondary,32,5,10,5,112,90,22,45,67,0.7008547008547008,0.7272727272727273
P01,arousal,svm,paper_compact,frontal_central,10,secondary,32,1,10,5,112,89,23,45,67,0.4722222222222222,0.4782608695652174
P01,arousal,svm,paper_compact,frontal_central,10,secondary,32,2,10,5,112,89,23,45,67,0.5,0.6086956521739131
P01,arousal,svm,paper_compact,frontal_central,10,secondary,32,3,10,5,112,90,22,45,67,0.5341880341880342,0.5909090909090909
