participant,target,task,task_label,feature,image_low_median,image_low_iqr,image_high_median,image_high_iqr,image_overall_median,image_overall_iqr,image_min,image_max,robot_median,robot_iqr,robot_min,robot_max,robot_z_median_abs,robot_z_p95_abs,robot_z_max_abs,robot_z_pct_abs_gt_2,robot_z_pct_abs_gt_3,robot_z_pct_abs_gt_5,robot_pct_outside_image_min_max,iqr_overlap,distance_median_contribution,distance_p95_contribution,distance_largest_contributor_pct,transferability_category,shift_indicator_count
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_bp_beta__PO8,8.066249401244097,2.3438049967323087,6.4574868107520125,1.7000797962133332,7.519678453332267,2.6116115478692175,3.6317451569747554,17.95899808473612,11.086461630960114,4.187366794398287,6.778017558074025,21.804983482019946,1.5598474341791322,4.255141245674515,6.546770668350297,32.20338983050847,23.728813559322035,3.389830508474576,5.084745762711865,neither,0.01844279233669816,0.40509801827585373,6.779661016949152,MODERATELY_SHIFTED,2
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_bp_beta__Pz,2.6696069615351288,1.2640259918285426,2.35089987224879,0.8162776922547219,2.514702446401632,0.9574998550932063,1.1610735531347969,5.468825619608707,2.120517873931559,0.8697314694015235,1.362322403357941,7.752510255860961,0.6979481377776053,1.4078475172998575,5.519921846554394,3.389830508474576,3.389830508474576,1.694915254237288,3.389830508474576,both,0.0020840014630838506,0.035404030465959836,0.0,TRANSFER_COMPATIBLE,0
P19,arousal,stack,Stack,eeg_se__Fz,4.758784220132117,0.2007166186126339,4.60150591240336,0.30880784922941995,4.692576967635442,0.28142969421143516,3.75619972640026,5.026992101131952,2.271936285621119,0.590143393370774,1.359631373196914,3.722378387927182,9.944662041140752,11.497916913609115,13.777360741556596,100.0,100.0,95.58823529411765,100.0,neither,0.16683435735779137,0.27174176659728255,1.4705882352941175,SEVERELY_SHIFTED,6
P19,arousal,stack,Stack,eeg_hm__Fz,0.4083912274822276,0.059956910774641714,0.3751826368635525,0.07789981334094753,0.39675899252381,0.07091382209030422,0.258900907159693,0.5276483384419882,0.14724628931578698,0.06141102347127994,0.0273397844855687,0.2962530344746105,4.866842864688289,5.963701404931868,7.211061735642032,98.52941176470588,91.17647058823529,42.64705882352941,91.17647058823529,neither,0.035693865252522564,0.05045821072959744,0.0,SEVERELY_SHIFTED,6
P19,arousal,stack,Stack,eeg_hm__PO8,0.3019270008556102,0.03693745449883218,0.2859077992777361,0.03550777673597272,0.29448178442326733,0.038904070096386745,0.2084983592864777,0.3999655654544514,0.22960524106131897,0.057033248522647434,0.0370548404422736,0.3418063848917352,2.0278505894425543,4.023547554644578,7.8629960346266,51.470588235294116,19.11764705882353,1.4705882352941175,30.88235294117647,neither,0.004544072311790085,0.1037841690891482,1.4705882352941175,SEVERELY_SHIFTED,4
P19,arousal,stack,Stack,eeg_hc__Fz,1.5305865522858275,0.17245297084519784,1.6445812620634732,0.29253709960528096,1.5643856168795949,0.23726968121170988,1.2608469179136874,2.234299786474834,4.325651448474785,1.3823213552823868,1.9601920846825795,16.905689495752636,14.561738918021224,24.941661279000268,81.80617376611625,98.52941176470588,98.52941176470588,91.17647058823529,98.52941176470588,neither,0.6608953058828728,0.786836095325076,86.76470588235294,SEVERELY_SHIFTED,6
P19,arousal,stack,Stack,eeg_hc__PO8,1.8567290496995528,0.2336211335190288,1.953646706011208,0.21888729043600996,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,2.6071011946188514,0.5931673265445352,1.8519871646142856,14.12168748524994,3.670987174213107,9.494107984920104,64.57055399750843,75.0,60.29411764705882,26.47058823529412,47.05882352941176,neither,0.024783298888552352,0.09805972245390422,0.0,SEVERELY_SHIFTED,6
P19,arousal,stack,Stack,eeg_mf_hz__Fz,11.0,2.0,9.0,4.5,10.0,3.25,4.0,21.0,2.0,1.0,2.0,4.0,2.260196895847215,2.260196895847215,2.260196895847215,73.52941176470588,0.0,0.0,98.52941176470588,neither,0.0011052597753796985,0.004434916730351319,0.0,MODERATELY_SHIFTED,3
P19,arousal,stack,Stack,eeg_mf_hz__PO8,7.0,2.0,6.0,2.0,6.0,2.0,3.0,12.0,3.0,1.0,2.0,9.0,2.1890818184619762,2.7861041325879694,2.7861041325879694,69.11764705882352,0.0,0.0,14.705882352941178,neither,0.005661614898996328,0.02031394688517937,0.0,MODERATELY_SHIFTED,2
P19,arousal,stack,Stack,eeg_bp_beta__Fz,22.843571396111297,9.577560887568374,17.287916202356534,9.301610695265321,20.881057400632308,10.541759900299116,8.193728041267866,56.908947088305695,17.407885375888874,12.288336593430973,7.822974573946581,40.26154823175336,0.8139813347641751,1.6021116860966926,2.0312175568873427,1.4705882352941175,0.0,0.0,1.4705882352941175,both,0.0015868384463832686,0.05519789671857433,0.0,TRANSFER_COMPATIBLE,0
P19,arousal,stack,Stack,eeg_bp_beta__PO8,8.066249401244097,2.3438049967323087,6.4574868107520125,1.7000797962133332,7.519678453332267,2.6116115478692175,3.6317451569747554,17.95899808473612,14.47087823410422,3.9468098501740556,7.658711024391419,20.79128059161283,3.134488604562634,5.293771006552413,6.075133014673464,79.41176470588235,52.94117647058824,13.23529411764706,16.176470588235293,neither,0.055425695402917426,0.3947300051564225,10.294117647058822,SEVERELY_SHIFTED,5
