mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P11,valence,eeg,svm,10,11,0,58,0,62
general,COHORT,P12,valence,eeg,svm,10,12,0,36,3,81
general,COHORT,P13,valence,eeg,svm,10,13,5,23,7,53
general,COHORT,P14,valence,eeg,svm,10,14,20,42,11,43
general,COHORT,P15,valence,eeg,svm,10,15,0,38,0,78
general,COHORT,P16,valence,eeg,svm,10,16,0,55,0,62
general,COHORT,P17,valence,eeg,svm,10,17,0,51,0,67
general,COHORT,P18,valence,eeg,svm,10,18,0,56,0,60
general,COHORT,P19,valence,eeg,svm,10,19,6,37,15,62
general,COHORT,P20,valence,eeg,svm,10,20,5,47,2,63
general,COHORT,P21,valence,eeg,svm,10,21,20,6,76,9
general,COHORT,P22,valence,eeg,svm,10,22,0,68,0,52
general,COHORT,P23,valence,eeg,svm,10,23,0,69,0,48
general,COHORT,P24,valence,eeg,svm,10,24,0,62,0,55
general,COHORT,P25,valence,eeg,svm,10,25,11,43,28,38
general,COHORT,P26,valence,eeg,svm,10,26,3,63,2,49
general,COHORT,P27,valence,eeg,svm,10,27,1,36,6,73
general,COHORT,P28,valence,eeg,svm,10,28,0,38,0,72
general,COHORT,P29,valence,eeg,svm,10,29,20,26,15,49
general,COHORT,P30,valence,eeg,svm,10,30,8,49,8,51
general,COHORT,P31,valence,eeg,svm,10,31,26,30,28,32
general,COHORT,P32,valence,eeg,svm,10,32,2,56,5,57
general,COHORT,P33,valence,eeg,svm,10,33,3,57,12,45
general,COHORT,P34,valence,eeg,svm,10,34,0,70,0,48
general,COHORT,P35,valence,eeg,svm,10,35,7,55,4,48
general,COHORT,P36,valence,eeg,svm,10,36,5,42,7,48
general,COHORT,P37,valence,eeg,svm,10,37,0,46,6,56
general,COHORT,P38,valence,eeg,svm,10,38,5,44,14,54
general,COHORT,P39,valence,eeg,svm,10,39,14,19,37,47
general,COHORT,P40,valence,eeg,svm,10,40,4,50,5,61
general,COHORT,P41,valence,eeg,svm,10,41,0,52,0,65
general,COHORT,P42,valence,eeg,svm,10,42,5,47,7,61
general,COHORT,P43,valence,eeg,svm,10,43,0,43,0,77
general,COHORT,P44,valence,eeg,svm,10,44,0,35,0,84
general,COHORT,P45,valence,eeg,svm,10,45,6,36,4,74
general,COHORT,P46,valence,eeg,svm,10,46,0,49,0,68
general,COHORT,P01,valence,eeg,svm,20,1,0,52,0,62
general,COHORT,P02,valence,eeg,svm,20,2,4,21,17,43
general,COHORT,P03,valence,eeg,svm,20,3,17,4,30,2
general,COHORT,P04,valence,eeg,svm,20,4,0,39,0,62
general,COHORT,P05,valence,eeg,svm,20,5,5,57,3,52
general,COHORT,P06,valence,eeg,svm,20,6,14,30,10,61
general,COHORT,P07,valence,eeg,svm,20,7,5,20,22,72
general,COHORT,P08,valence,eeg,svm,20,8,0,55,0,54
general,COHORT,P09,valence,eeg,svm,20,9,15,32,28,40
general,COHORT,P10,valence,eeg,svm,20,10,23,27,34,36
