Timestamp,Experiment_Time,Frame_Count,Trigger,Emotion
2026-05-26 15:20:17.515,300.207,8976,0,no face
2026-05-26 15:20:17.548,300.24,8977,0,no face
2026-05-26 15:20:17.581,300.274,8978,0,no face
2026-05-26 15:20:17.615,300.307,8979,0,no face
2026-05-26 15:20:17.648,300.34,8980,0,no face
2026-05-26 15:20:17.681,300.374,8981,0,no face
2026-05-26 15:20:17.714,300.407,8982,0,no face
2026-05-26 15:20:17.748,300.441,8983,0,no face
2026-05-26 15:20:17.781,300.474,8984,0,no face
2026-05-26 15:20:17.815,300.507,8985,21,no face
2026-05-26 15:20:17.848,300.541,8986,0,no face
2026-05-26 15:20:17.881,300.574,8987,0,no face
2026-05-26 15:20:17.915,300.608,8988,0,no face
2026-05-26 15:20:17.948,300.641,8989,0,no face
2026-05-26 15:20:17.982,300.674,8990,0,no face
2026-05-26 15:20:18.015,300.707,8991,0,no face
2026-05-26 15:20:18.048,300.741,8992,0,no face
2026-05-26 15:20:18.082,300.774,8993,0,no face
2026-05-26 15:20:18.115,300.807,8994,0,no face
2026-05-26 15:20:18.148,300.841,8995,0,no face
2026-05-26 15:20:18.182,300.874,8996,0,no face
2026-05-26 15:20:18.215,300.907,8997,0,no face
2026-05-26 15:20:18.248,300.941,8998,0,no face
2026-05-26 15:20:18.282,300.974,8999,0,no face
2026-05-26 15:20:18.315,301.007,9000,0,no face
2026-05-26 15:20:18.349,301.041,9001,0,no face
2026-05-26 15:20:18.382,301.074,9002,0,no face
2026-05-26 15:20:18.415,301.108,9003,0,no face
2026-05-26 15:20:18.448,301.141,9004,0,no face
2026-05-26 15:20:18.494,301.187,9005,0,no face
2026-05-26 15:20:18.515,301.207,9006,0,no face
2026-05-26 15:20:18.548,301.241,9007,0,no face
2026-05-26 15:20:18.582,301.274,9008,0,no face
2026-05-26 15:20:18.615,301.307,9009,0,no face
2026-05-26 15:20:18.648,301.341,9010,0,no face
2026-05-26 15:20:18.682,301.374,9011,0,no face
2026-05-26 15:20:18.715,301.408,9012,0,no face
2026-05-26 15:20:18.748,301.441,9013,0,no face
2026-05-26 15:20:18.782,301.474,9014,0,no face
2026-05-26 15:20:18.815,301.508,9015,0,no face
