trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,stim_id,category,trigger_sent,image_path,valence_rating,valence_rt,arousal_rating,arousal_rt,participant,session,
0,-1,-1,0,,,Destruction 2.jpg,LALV,422,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Destruction 2.jpg,6,1.4305100440979004,6,3.145491600036621,P01,001,
0,-1,-1,0,,,Toilet 2.jpg,LAHV,318,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Toilet 2.jpg,3,1.8146998882293701,4,1.097506046295166,P01,001,
0,-1,-1,0,,,Picnic 1.jpg,HAHV,105,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Picnic 1.jpg,5,2.195338487625122,5,1.227308750152588,P01,001,
0,-1,-1,0,,,Present 1.jpg,LAHV,326,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Present 1.jpg,4,2.730861186981201,4,1.7982141971588135,P01,001,
0,-1,-1,0,,,War 3.jpg,HALV,224,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/War 3.jpg,3,1.595944881439209,5,1.7314789295196533,P01,001,
0,-1,-1,0,,,Meerkat 1.jpg,LAHV,323,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Meerkat 1.jpg,6,1.3639066219329834,5,2.664222240447998,P01,001,
0,-1,-1,0,,,Windmill 1.jpg,LALV,424,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Windmill 1.jpg,4,2.949819803237915,2,1.6460072994232178,P01,001,
0,-1,-1,0,,,Depressed pose 2.jpg,LALV,417,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Depressed pose 2.jpg,3,1.6467816829681396,2,1.1269097328186035,P01,001,
0,-1,-1,0,,,Bubble 2.jpg,LAHV,316,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Bubble 2.jpg,5,2.0303378105163574,5,1.2314891815185547,P01,001,
0,-1,-1,0,,,Dog 28.jpg,HAHV,101,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Dog 28.jpg,6,1.5811948776245117,6,0.9474070072174072,P01,001,
0,-1,-1,0,,,Wedding 6.jpg,HAHV,109,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Wedding 6.jpg,5,1.0303523540496826,5,0.8488917350769043,P01,001,
0,-1,-1,0,,,Ambulance 2.jpg,LALV,421,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Ambulance 2.jpg,3,3.1801319122314453,3,0.5974230766296387,P01,001,
0,-1,-1,0,,,Spider 1.jpg,HALV,206,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Spider 1.jpg,2,0.9825284481048584,6,1.0790479183197021,P01,001,
0,-1,-1,0,,,Galaxy 8.jpg,HAHV,125,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Galaxy 8.jpg,5,1.6792211532592773,5,0.8333249092102051,P01,001,
0,-1,-1,0,,,Hang gliding 1.jpg,HAHV,116,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Hang gliding 1.jpg,4,0.7133126258850098,2,1.5314548015594482,P01,001,
0,-1,-1,0,,,Paper 3.jpg,LAHV,315,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Paper 3.jpg,4,0.49722886085510254,1,1.030656099319458,P01,001,
0,-1,-1,0,,,Dirt 3.jpg,LAHV,303,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Dirt 3.jpg,4,0.5972409248352051,5,0.8472285270690918,P01,001,
0,-1,-1,0,,,Car race 2.jpg,HAHV,126,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Car race 2.jpg,5,1.0816702842712402,5,1.1473333835601807,P01,001,
0,-1,-1,0,,,Yoga 5.jpg,LALV,410,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Yoga 5.jpg,4,1.5814242362976074,2,1.0638563632965088,P01,001,
0,-1,-1,0,,,Sad face 1.jpg,HALV,227,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Sad face 1.jpg,5,1.3303279876708984,5,2.5803327560424805,P01,001,
0,-1,-1,0,,,Skinhead 1.jpg,LALV,405,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Skinhead 1.jpg,2,2.9969608783721924,6,1.1974561214447021,P01,001,
