participant,target,modality,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,new_ge_060,old_ge_065,new_ge_065
P06,valence,face,0.6336507936507937,0.6336507936507937,0.0,False,True,True,False,False
P07,valence,face,0.5335672514619884,0.5335672514619884,0.0,False,False,False,False,False
P08,valence,face,0.5424242424242424,0.5765151515151515,0.03409090909090917,True,False,False,False,False
P09,valence,face,0.597936507936508,0.5768253968253969,-0.02111111111111108,False,False,False,False,False
P10,valence,face,0.5714285714285714,0.5157142857142858,-0.055714285714285605,False,False,False,False,False
P11,valence,face,0.6155594405594406,0.6155594405594406,0.0,False,True,True,False,False
P12,valence,face,0.5,0.5033613445378151,0.003361344537815114,True,False,False,False,False
P13,valence,face,0.5947023809523809,0.5947023809523809,0.0,False,False,False,False,False
P14,valence,face,0.5521561771561772,0.5612470862470862,0.009090909090909038,True,False,False,False,False
P15,valence,face,0.6125,0.63125,0.018749999999999933,True,True,True,False,False
P16,valence,face,0.5874125874125874,0.6286713286713287,0.041258741258741294,True,False,True,False,False
P17,valence,face,0.6882917082917083,0.6491708291708292,-0.039120879120879026,False,True,True,True,False
P18,valence,face,0.4796620046620046,0.4796620046620046,0.0,False,False,False,False,False
P19,valence,face,0.5,0.5900000000000001,0.09000000000000008,True,False,False,False,False
P20,valence,face,0.6055644355644356,0.5465734265734266,-0.058991008991009064,False,True,False,False,False
P21,valence,face,0.5785714285714285,0.5785714285714285,0.0,False,False,False,False,False
P22,valence,face,0.6385814185814185,0.6414085914085914,0.00282717282717293,True,True,True,False,False
P23,valence,face,0.5837462537462537,0.5860839160839161,0.002337662337662416,True,False,False,False,False
P24,valence,face,0.5571678321678322,0.541083916083916,-0.016083916083916128,False,False,False,False,False
P25,valence,face,0.5133466533466533,0.4911188811188811,-0.022227772227772225,False,False,False,False,False
P26,valence,face,0.5602697302697303,0.5782617382617382,0.017992007992007952,True,False,False,False,False
P27,valence,face,0.5391281512605042,0.5209033613445377,-0.018224789915966433,False,False,False,False,False
P28,valence,face,0.5702777777777778,0.6181944444444445,0.04791666666666672,True,False,True,False,False
P29,valence,face,0.5193606393606394,0.4800499500499501,-0.03931068931068926,False,False,False,False,False
P30,valence,face,0.5903263403263403,0.5903263403263403,0.0,False,False,False,False,False
P31,valence,face,0.5362470862470863,0.5089743589743589,-0.027272727272727337,False,False,False,False,False
P32,valence,face,0.5891608391608392,0.5891608391608392,0.0,False,False,False,False,False
P33,valence,face,0.6583333333333333,0.6583333333333334,1.1102230246251565e-16,True,True,True,True,True
P34,valence,face,0.4866666666666667,0.4982539682539683,0.01158730158730159,True,False,False,False,False
P35,valence,face,0.6029670329670329,0.6302397602397602,0.027272727272727337,True,True,True,False,False
P36,valence,face,0.6345654345654346,0.6446253746253746,0.010059940059940042,True,True,True,False,False
P37,valence,face,0.5838761238761239,0.5838761238761239,0.0,False,False,False,False,False
P38,valence,face,0.53,0.5295238095238095,-0.0004761904761905189,False,False,False,False,False
P39,valence,face,0.5467320261437909,0.5782446311858076,0.031512605042016695,True,False,False,False,False
P40,valence,face,0.60004995004995,0.6029070929070929,0.0028571428571428914,True,True,True,False,False
