mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P46,P46,arousal,multimodal,ridge,all,all,2,P46,117,93,24,1.4719822458162897,1.195078357485631,-0.15666123969514367,-0.15371229865908065
individual,P46,P46,arousal,multimodal,ridge,all,all,3,P46,117,94,23,1.3111169801033993,0.9648438652258741,-0.2124875627835694,-0.18734957022652954
individual,P46,P46,arousal,multimodal,ridge,all,all,4,P46,117,94,23,1.0728055661804328,0.802457028331548,-0.47774838134918296,-0.40033695728493024
individual,P46,P46,arousal,multimodal,ridge,all,all,5,P46,117,94,23,1.3102983588987063,1.132221476053073,-0.5187800444096458,-0.5133245560360971
individual,P01,P01,arousal,multimodal,ridge,5,5,1,P01,112,89,23,1.6162530757387523,1.3630559119466041,-0.10374836146781385,0.031120627827018188
individual,P01,P01,arousal,multimodal,ridge,5,5,2,P01,112,89,23,1.4505194796958167,1.3263522011259876,-0.11301957655684536,0.02524305264897564
individual,P01,P01,arousal,multimodal,ridge,5,5,3,P01,112,90,22,1.4526378260125759,1.1459451594251888,0.030089439388157002,0.03129017017599245
individual,P01,P01,arousal,multimodal,ridge,5,5,4,P01,112,90,22,1.3996125492288631,1.1741053137650328,-0.16190563648543588,-0.08227588679122211
individual,P01,P01,arousal,multimodal,ridge,5,5,5,P01,112,90,22,1.460122103113786,1.2807549422739672,0.08522431462350188,0.0995338108255176
individual,P02,P02,arousal,multimodal,ridge,5,5,1,P02,101,80,21,1.096451498431025,0.8993679123980456,-0.20493817452166652,-0.15949885509042305
individual,P02,P02,arousal,multimodal,ridge,5,5,2,P02,101,81,20,1.5547319889271103,1.359687938853777,-0.1733939598996348,-0.03519978164813331
individual,P02,P02,arousal,multimodal,ridge,5,5,3,P02,101,81,20,1.8139995857511175,1.470325126491836,-0.07976849781959827,-0.05573090389142554
individual,P02,P02,arousal,multimodal,ridge,5,5,4,P02,101,81,20,1.5869776747344846,1.2391861634611294,-0.6144218846831229,-0.0938127503019901
individual,P02,P02,arousal,multimodal,ridge,5,5,5,P02,101,81,20,1.4132581196195253,1.180358264923282,-0.09291300282928394,-0.03830041888500624
individual,P03,P03,arousal,multimodal,ridge,5,5,1,P03,53,42,11,2.2523470925736024,2.0507956516522965,-0.8601247226557454,0.362224958036542
individual,P03,P03,arousal,multimodal,ridge,5,5,2,P03,53,42,11,2.518350813667526,2.2859588556490404,0.03351008903691832,0.10391594812420024
individual,P03,P03,arousal,multimodal,ridge,5,5,3,P03,53,42,11,2.688063950400407,2.428880321149461,-0.09015988026747035,0.12268106493161379
individual,P03,P03,arousal,multimodal,ridge,5,5,4,P03,53,43,10,2.5611182731786672,2.2876108586634794,-0.36652641858534984,-0.010660391223573651
individual,P03,P03,arousal,multimodal,ridge,5,5,5,P03,53,43,10,2.5400887453050167,2.427080580960939,-0.34138270977655205,-0.10166588754351324
individual,P04,P04,arousal,multimodal,ridge,5,5,1,P04,101,80,21,2.004970377436307,1.7207191528732433,-0.2010695396674227,-0.12035679912463593
individual,P04,P04,arousal,multimodal,ridge,5,5,2,P04,101,81,20,2.0619213921318216,1.8148666371845947,-0.04717237126375129,-0.010132609761063005
individual,P04,P04,arousal,multimodal,ridge,5,5,3,P04,101,81,20,1.9742638253134004,1.695979585977637,-0.39828435944075347,-0.12673967592385926
individual,P04,P04,arousal,multimodal,ridge,5,5,4,P04,101,81,20,1.8685610670636317,1.5004196134449976,0.026753878370459172,0.04326211979477579
individual,P04,P04,arousal,multimodal,ridge,5,5,5,P04,101,81,20,1.7360460921929415,1.4474069727376917,-0.16365097846269605,-0.15784326994781273
individual,P05,P05,arousal,multimodal,ridge,5,5,1,P05,115,92,23,1.3305513406896414,1.1371573405721664,-0.0864548426236893,0.1561178213191189
individual,P05,P05,arousal,multimodal,ridge,5,5,2,P05,115,92,23,1.7398486295784332,1.4781869249313175,-0.14216958008880787,-0.1412292467539391
individual,P05,P05,arousal,multimodal,ridge,5,5,3,P05,115,92,23,1.725043623479493,1.5224997298459297,0.06631954861332157,0.08366707661838224
individual,P05,P05,arousal,multimodal,ridge,5,5,4,P05,115,92,23,1.7063772339313583,1.475070237140698,-0.29437109824328944,-0.17470742945432405
