experiment,target,classifier,parameter,selected_value,n_selected_outer_folds,n_configurations_with_selection,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
individual_optimized_top15,arousal,knn,classifier__n_neighbors,15,54,41,54,0.5363236763236763,0.5257011174494836,0.5536297852474323,0.5885714285714285,0.3148148148148148,0.0,0.0
individual_optimized_top15,arousal,knn,classifier__n_neighbors,21,52,42,52,0.5325396825396825,0.5272895092903578,0.5517040149393091,0.6595604395604396,0.25,0.057692307692307696,0.038461538461538464
individual_optimized_top15,arousal,knn,classifier__n_neighbors,3,148,77,148,0.5454621848739496,0.548232321136733,0.5737562437562438,0.7028571428571428,0.4594594594594595,0.1891891891891892,0.10135135135135136
individual_optimized_top15,arousal,knn,classifier__n_neighbors,5,84,61,84,0.537035742035742,0.5413605750186632,0.5793394105894106,0.7028571428571428,0.38095238095238093,0.14285714285714285,0.09523809523809523
individual_optimized_top15,arousal,knn,classifier__n_neighbors,7,66,54,66,0.5363236763236763,0.5379478550267321,0.5618181818181818,0.6950000000000001,0.3333333333333333,0.09090909090909091,0.030303030303030304
individual_optimized_top15,arousal,knn,classifier__n_neighbors,9,57,42,57,0.5787301587301588,0.5648811007247541,0.5952447552447552,0.7028571428571428,0.631578947368421,0.21052631578947367,0.03508771929824561
individual_optimized_top15,arousal,knn,classifier__weights,distance,110,60,110,0.5326984126984127,0.5322974003121062,0.5731296828171828,0.7028571428571428,0.33636363636363636,0.1,0.03636363636363636
individual_optimized_top15,arousal,knn,classifier__weights,uniform,415,105,415,0.5406349206349207,0.544889930036103,0.574020979020979,0.7028571428571428,0.42891566265060244,0.13012048192771083,0.06265060240963856
individual_optimized_top15,arousal,logreg,classifier__C,0.01,153,80,153,0.572875816993464,0.557347296697066,0.6070028011204481,0.67125,0.6143790849673203,0.27450980392156865,0.0196078431372549
individual_optimized_top15,arousal,logreg,classifier__C,0.1,120,74,120,0.571218487394958,0.5611431516468282,0.6034173669467787,0.67125,0.6416666666666667,0.26666666666666666,0.03333333333333333
individual_optimized_top15,arousal,logreg,classifier__C,1,107,67,107,0.5597572362278245,0.563336052347872,0.5993650793650793,0.6693406593406593,0.5607476635514018,0.2336448598130841,0.07476635514018691
individual_optimized_top15,arousal,logreg,classifier__C,10,81,57,81,0.567936507936508,0.5579896555876948,0.5915873015873016,0.67125,0.5679012345679012,0.1728395061728395,0.04938271604938271
individual_optimized_top15,arousal,logreg,classifier__C,100,64,44,64,0.5605029937382879,0.5546112071904811,0.58002997002997,0.6693406593406593,0.59375,0.109375,0.015625
individual_optimized_top15,arousal,logreg,classifier__class_weight,None,230,90,230,0.559640522875817,0.5552577594684371,0.5961904761904762,0.6693406593406593,0.5652173913043478,0.21304347826086956,0.0391304347826087
individual_optimized_top15,arousal,logreg,classifier__class_weight,balanced,295,104,295,0.5720821661998132,0.5622754809442247,0.5993650793650793,0.67125,0.6271186440677966,0.24067796610169492,0.03728813559322034
individual_optimized_top15,arousal,svm,classifier__C,0.01,57,41,57,0.57625,0.5588342512607218,0.6062091503267973,0.6791708291708292,0.5789473684210527,0.2982456140350877,0.03508771929824561
individual_optimized_top15,arousal,svm,classifier__C,0.1,61,43,61,0.5390476190476191,0.5347142120442506,0.5657142857142856,0.65125,0.39344262295081966,0.11475409836065574,0.03278688524590164
individual_optimized_top15,arousal,svm,classifier__C,1,146,83,146,0.5538095238095238,0.5512718021078215,0.584126984126984,0.6912499999999999,0.5547945205479452,0.1643835616438356,0.04794520547945205
