experiment,target,factor,level,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
individual_optimized_top15,valence,classifier × feature_count_request,logreg × 5,15,0.5483760683760683,0.5775521145521145,0.6294405594405594,0.7075252525252524,0.4666666666666667,0.4666666666666667,0.2
individual_optimized_top15,valence,classifier × feature_count_request,gnb × all,15,0.5806837606837607,0.5744805564805566,0.5974791874791875,0.6345654345654347,0.8,0.26666666666666666,0.0
individual_optimized_top15,valence,classifier × feature_count_request,logreg × 8,15,0.5336507936507936,0.574024975024975,0.6310889110889111,0.7047979797979798,0.4666666666666667,0.4,0.13333333333333333
individual_optimized_top15,valence,classifier × feature_count_request,gnb × 5,15,0.5877777777777777,0.5724970584970583,0.6198251748251749,0.6531818181818181,0.7333333333333333,0.4,0.06666666666666667
individual_optimized_top15,valence,classifier × feature_count_request,svm × all,15,0.5570329670329671,0.5700827320827321,0.5923876123876123,0.6456043956043956,0.6666666666666666,0.2,0.0
individual_optimized_top15,valence,classifier × feature_count_request,svm × 20,10,0.5694144744144745,0.5687617937617937,0.6005544455544456,0.6203030303030304,0.7,0.3,0.0
individual_optimized_top15,valence,classifier × feature_count_request,gnb × 3,15,0.5836507936507938,0.5663411403411402,0.621008991008991,0.6701515151515152,0.6666666666666666,0.3333333333333333,0.2
individual_optimized_top15,valence,classifier × feature_count_request,extra_trees × all,15,0.5588811188811189,0.5636271876271876,0.5875724275724276,0.6474525474525474,0.6,0.06666666666666667,0.0
individual_optimized_top15,valence,classifier × feature_count_request,svm × 30,10,0.5572657897657898,0.5611602841602841,0.5818253968253968,0.6418481518481519,0.5,0.1,0.0
individual_optimized_top15,valence,classifier × feature_count_request,gnb × 30,10,0.5662348762348762,0.5604798534798534,0.582928737928738,0.5996825396825396,0.6,0.0,0.0
individual_optimized_top15,valence,classifier × feature_count_request,extra_trees × 5,15,0.5642957042957042,0.5600419580419581,0.5873876123876125,0.6473226773226773,0.6,0.2,0.0
individual_optimized_top15,valence,classifier × feature_count_request,svm × 10,15,0.5565934065934066,0.5597102527102525,0.5923876123876123,0.6456043956043956,0.6,0.13333333333333333,0.0
individual_optimized_top15,valence,classifier × feature_count_request,extra_trees × 8,15,0.5621378621378621,0.5592897472897472,0.5835137085137085,0.6793434343434344,0.6,0.2,0.13333333333333333
individual_optimized_top15,valence,classifier × feature_count_request,extra_trees × 20,10,0.5481060606060606,0.5577781662781663,0.5701484626484628,0.6434343434343435,0.4,0.1,0.0
individual_optimized_top15,valence,classifier × feature_count_request,logreg × 20,10,0.5497069597069597,0.5574295704295704,0.5866308691308693,0.6352525252525252,0.5,0.2,0.0
individual_optimized_top15,valence,classifier × feature_count_request,svm × 8,15,0.5523737373737374,0.5555407925407926,0.5875174825174825,0.6504395604395604,0.5333333333333333,0.2,0.06666666666666667
individual_optimized_top15,valence,classifier × feature_count_request,svm × 5,15,0.5544955044955046,0.55507622007622,0.5713986013986014,0.6352447552447551,0.5333333333333333,0.2,0.0
individual_optimized_top15,valence,classifier × feature_count_request,extra_trees × 15,10,0.5520085470085472,0.5526913641913642,0.5828671328671329,0.6308585858585858,0.5,0.1,0.0
individual_optimized_top15,valence,classifier × feature_count_request,extra_trees × 30,10,0.5524791874791875,0.5521721611721612,0.5737423687423687,0.594949494949495,0.6,0.0,0.0
individual_optimized_top15,valence,classifier × feature_count_request,logreg × 15,10,0.5278704628704629,0.5521176601176603,0.5762634587634587,0.6454545454545454,0.3,0.2,0.0
individual_optimized_top15,valence,classifier × feature_count_request,gnb × 15,10,0.5551076701076701,0.5518167943167944,0.5878441003441004,0.5975252525252526,0.5,0.0,0.0
