mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
general,COHORT,P10,valence,multimodal,knn,20,20,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5514285714285714,0.5333333333333333,0.6458333333333334,0.44285714285714284,0.5254237288135594,33,17,39,31
general,COHORT,P11,valence,multimodal,knn,20,20,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5119577308120133,0.525,0.5233644859813084,0.9032258064516129,0.6627218934911243,7,51,6,56
general,COHORT,P19,valence,multimodal,knn,20,20,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.49773482331621866,0.5333333333333333,0.64,0.6233766233766234,0.631578947368421,16,27,29,48
general,COHORT,P22,valence,multimodal,knn,20,20,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5039592760180995,0.4583333333333333,0.43564356435643564,0.8461538461538461,0.5751633986928104,11,57,8,44
general,COHORT,P25,valence,multimodal,knn,20,20,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4099326599326599,0.4083333333333333,0.45614035087719296,0.3939393939393939,0.42276422764227645,23,31,40,26
general,COHORT,P32,valence,multimodal,knn,20,20,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.48192436040044495,0.49166666666666664,0.5052631578947369,0.7741935483870968,0.6114649681528662,11,47,14,48
general,COHORT,P40,valence,multimodal,knn,20,20,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.5025252525252525,0.5083333333333333,0.5522388059701493,0.5606060606060606,0.556390977443609,24,30,29,37
general,COHORT,P42,valence,multimodal,knn,20,20,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,522,678,0.4858597285067873,0.49166666666666664,0.5538461538461539,0.5294117647058824,0.5413533834586466,23,29,32,36
general,COHORT,P43,valence,multimodal,knn,20,20,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.48610691633947445,0.525,0.631578947368421,0.6233766233766234,0.6274509803921569,15,28,29,48
general,COHORT,P45,valence,multimodal,knn,20,20,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.5576923076923077,0.575,0.6956521739130435,0.6153846153846154,0.6530612244897959,21,21,30,48
general,COHORT,P10,valence,multimodal,svm,all,all,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5585714285714285,0.6083333333333333,0.6185567010309279,0.8571428571428571,0.718562874251497,13,37,10,60
general,COHORT,P11,valence,multimodal,svm,all,all,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5005561735261401,0.5166666666666667,0.5169491525423728,0.9838709677419355,0.6777777777777778,1,57,1,61
general,COHORT,P19,valence,multimodal,svm,all,all,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5,0.6416666666666667,0.6416666666666667,1.0,0.7817258883248731,0,43,0,77
general,COHORT,P22,valence,multimodal,svm,all,all,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.44966063348416285,0.39166666666666666,0.40707964601769914,0.8846153846153846,0.5575757575757576,1,67,6,46
general,COHORT,P25,valence,multimodal,svm,all,all,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4789562289562289,0.475,0.5272727272727272,0.4393939393939394,0.4793388429752066,28,26,37,29
general,COHORT,P32,valence,multimodal,svm,all,all,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.5,0.5166666666666667,0.5166666666666667,1.0,0.6813186813186813,0,58,0,62
general,COHORT,P40,valence,multimodal,svm,all,all,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.41919191919191917,0.43333333333333335,0.4868421052631579,0.5606060606060606,0.5211267605633803,15,39,29,37
