participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P15,shape_sorter_observation,1,shape_sorter_observation_s1_71.000,71.0,73.0,no-ICA,valence__face__gnb__5,1.6140552337734817,1,0.2,3.1311427121083417,1.6073853058009289
P15,shape_sorter_observation,1,shape_sorter_observation_s1_72.000,72.0,74.0,no-ICA,valence__face__gnb__5,2.6471549191257444,1,0.2,3.8221448388855728,0.6677782973189477
P15,shape_sorter_observation,1,shape_sorter_observation_s1_73.000,73.0,75.0,no-ICA,valence__face__gnb__5,3.7185905645851816,1,0.2,4.743325144781653,1.5095308661956517
P15,shape_sorter_observation,1,shape_sorter_observation_s1_74.000,74.0,76.0,no-ICA,valence__face__gnb__5,2.6238805395959903,1,0.2,3.1261707627320496,1.2548527787677435
P15,shape_sorter_observation,1,shape_sorter_observation_s1_75.000,75.0,77.0,no-ICA,valence__face__gnb__5,1.5737159803336889,0,0.0,1.1877516436040005,0.9835602740780276
P15,shape_sorter_observation,1,shape_sorter_observation_s1_76.000,76.0,78.0,no-ICA,valence__face__gnb__5,1.047972980798432,0,0.0,1.4328747988701782,0.7463110108505762
P15,shape_sorter_observation,1,shape_sorter_observation_s1_77.000,77.0,79.0,no-ICA,valence__face__gnb__5,1.487488391238544,0,0.0,2.1114900603942846,1.7686072420762924
P15,shape_sorter_observation,1,shape_sorter_observation_s1_78.000,78.0,80.0,no-ICA,valence__face__gnb__5,1.6045385413604596,0,0.0,2.126394810860723,1.9634064231728088
P15,shape_sorter_observation,1,shape_sorter_observation_s1_79.000,79.0,81.0,no-ICA,valence__face__gnb__5,1.5541436075356103,0,0.0,1.1407679875423276,0.5398584738333917
P15,shape_sorter_observation,1,shape_sorter_observation_s1_80.000,80.0,82.0,no-ICA,valence__face__gnb__5,1.6621469020703474,0,0.0,1.9815411076409095,1.3456009327550014
P15,shape_sorter_observation,1,shape_sorter_observation_s1_81.000,81.0,83.0,no-ICA,valence__face__gnb__5,1.7752985245833572,2,0.4,2.778739837643009,1.4262563558499046
P15,shape_sorter_observation,1,shape_sorter_observation_s1_82.000,82.0,84.0,no-ICA,valence__face__gnb__5,1.4386656862598548,1,0.2,2.6051151234510357,1.0655293548057911
P15,shape_sorter_observation,1,shape_sorter_observation_s1_83.000,83.0,85.0,no-ICA,valence__face__gnb__5,0.8318945801427879,0,0.0,1.278896447596429,1.045239386328332
P15,shape_sorter_observation,1,shape_sorter_observation_s1_84.000,84.0,86.0,no-ICA,valence__face__gnb__5,0.797326820325971,0,0.0,1.4739105579175078,1.1183224936936667
P15,shape_sorter_observation,1,shape_sorter_observation_s1_85.000,85.0,87.0,no-ICA,valence__face__gnb__5,1.505764963030912,1,0.2,2.5541378265721746,1.1089299862368203
P15,shape_sorter_observation,1,shape_sorter_observation_s1_86.000,86.0,88.0,no-ICA,valence__face__gnb__5,1.636721465975598,1,0.2,2.5218717658506424,0.9326322243895276
P15,shape_sorter_observation,1,shape_sorter_observation_s1_87.000,87.0,89.0,no-ICA,valence__face__gnb__5,1.6873150068994243,1,0.2,2.5599278623912882,1.2216955089556418
P15,shape_sorter_observation,1,shape_sorter_observation_s1_88.000,88.0,90.0,no-ICA,valence__face__gnb__5,1.4999990474484632,0,0.0,1.7014151694132378,1.4750311253018615
P15,shape_sorter_observation,1,shape_sorter_observation_s1_89.000,89.0,91.0,no-ICA,valence__face__gnb__5,0.8082397291218538,0,0.0,1.2044930371898568,0.4932862290368277
P15,shape_sorter_observation,1,shape_sorter_observation_s1_90.000,90.0,92.0,no-ICA,valence__face__gnb__5,0.7952993949306243,0,0.0,1.8207018871817997,0.9950801422195781
P15,shape_sorter_observation,1,shape_sorter_observation_s1_91.000,91.0,93.0,no-ICA,valence__face__gnb__5,0.6595340287852739,0,0.0,1.3382973784691958,0.8563052872123166
P15,shape_sorter_observation,1,shape_sorter_observation_s1_92.000,92.0,94.0,no-ICA,valence__face__gnb__5,1.211690209734304,0,0.0,1.038212925909701,0.7722358886871176
P15,shape_sorter_observation,1,shape_sorter_observation_s1_93.000,93.0,95.0,no-ICA,valence__face__gnb__5,1.6052710954480514,1,0.2,2.7988797774052716,1.0789343361767003
P15,shape_sorter_observation,1,shape_sorter_observation_s1_94.000,94.0,96.0,no-ICA,valence__face__gnb__5,2.178757766845885,1,0.2,3.2708501881213072,0.7472523492973472
P15,shape_sorter_observation,1,shape_sorter_observation_s1_95.000,95.0,97.0,no-ICA,valence__face__gnb__5,2.1665111865606588,0,0.0,1.8253208970731956,1.3820263053247028
P15,shape_sorter_observation,1,shape_sorter_observation_s1_96.000,96.0,98.0,no-ICA,valence__face__gnb__5,1.3764231652778955,0,0.0,1.397522980462372,0.3194064786202541
P15,shape_sorter_observation,1,shape_sorter_observation_s1_97.000,97.0,99.0,no-ICA,valence__face__gnb__5,1.1869345492199197,0,0.0,1.752314944730259,1.0494806957901948
P15,shape_sorter_observation,1,shape_sorter_observation_s1_98.000,98.0,100.0,no-ICA,valence__face__gnb__5,1.4758334712985377,0,0.0,2.054478295563017,1.2269037758769106
P15,shape_sorter_observation,1,shape_sorter_observation_s1_99.000,99.0,101.0,no-ICA,valence__face__gnb__5,1.2705907644959813,0,0.0,1.6957310178759715,0.5092664071966309
P15,shape_sorter_observation,1,shape_sorter_observation_s1_100.000,100.0,102.0,no-ICA,valence__face__gnb__5,1.9010000548395454,0,0.0,2.495425584803539,0.8259613305074088
P15,shape_sorter_observation,1,shape_sorter_observation_s1_101.000,101.0,103.0,no-ICA,valence__face__gnb__5,1.1404315653584691,0,0.0,2.2329116017722677,0.7317244808567707
P15,shape_sorter_observation,1,shape_sorter_observation_s1_102.000,102.0,104.0,no-ICA,valence__face__gnb__5,2.7294516177212333,1,0.2,4.254682871052715,0.6299135724823526
P15,shape_sorter_observation,1,shape_sorter_observation_s1_103.000,103.0,105.0,no-ICA,valence__face__gnb__5,4.468170817384836,2,0.4,5.337389184696547,1.087249919278517
P15,shape_sorter_observation,1,shape_sorter_observation_s1_104.000,104.0,106.0,no-ICA,valence__face__gnb__5,4.976503035397631,1,0.2,5.62947432034711,1.634528110070306
P15,shape_sorter_observation,1,shape_sorter_observation_s1_105.000,105.0,107.0,no-ICA,valence__face__gnb__5,4.360759614734147,3,0.6,4.013067223224391,2.7087153656180556
P15,shape_sorter_observation,1,shape_sorter_observation_s1_106.000,106.0,108.0,no-ICA,valence__face__gnb__5,2.452767555419597,3,0.6,3.5806176658347995,2.574567239163257
P15,shape_sorter_observation,1,shape_sorter_observation_s1_107.000,107.0,109.0,no-ICA,valence__face__gnb__5,4.516615995353528,3,0.6,5.3435163209716645,2.3552321662082103
P15,stack,1,stack_s1_7.000,7.0,9.0,no-ICA,valence__face__gnb__5,1.4328736614743238,0,0.0,2.0083643676295435,1.5096808317307266
P15,stack,1,stack_s1_8.000,8.0,10.0,no-ICA,valence__face__gnb__5,2.243398533174769,0,0.0,1.6705966620400918,1.116597928040872
P15,stack,1,stack_s1_9.000,9.0,11.0,no-ICA,valence__face__gnb__5,2.5346941116882657,0,0.0,3.261030196188468,1.0702226845979146
P15,stack,1,stack_s1_10.000,10.0,12.0,no-ICA,valence__face__gnb__5,3.3483720579643683,1,0.2,4.208000600515034,1.5827903149645777
P15,stack,1,stack_s1_11.000,11.0,13.0,no-ICA,valence__face__gnb__5,3.977956164379406,3,0.6,4.479465904004243,2.414756866007892
P15,stack,1,stack_s1_12.000,12.0,14.0,no-ICA,valence__face__gnb__5,3.741764604795071,3,0.6,3.9165955215417085,2.2644509950176044
P15,stack,1,stack_s1_13.000,13.0,15.0,no-ICA,valence__face__gnb__5,3.687241839891942,2,0.4,3.898006827740652,1.9087731486856883
P15,stack,1,stack_s1_14.000,14.0,16.0,no-ICA,valence__face__gnb__5,2.213012278971946,0,0.0,3.2488422081653145,0.43470809520144177
P15,stack,1,stack_s1_15.000,15.0,17.0,no-ICA,valence__face__gnb__5,1.7855005620825606,0,0.0,1.9037373428510733,0.6577058804676841
P15,stack,1,stack_s1_16.000,16.0,18.0,no-ICA,valence__face__gnb__5,1.3155623454827987,0,0.0,2.05233759931632,1.0946155893412073
P15,stack,1,stack_s1_17.000,17.0,19.0,no-ICA,valence__face__gnb__5,1.233373062039892,0,0.0,1.3814212436696036,0.8669567555685045
P15,stack,1,stack_s1_18.000,18.0,20.0,no-ICA,valence__face__gnb__5,1.4205649018788857,0,0.0,2.199606262361051,1.142069504016132
P15,stack,1,stack_s1_19.000,19.0,21.0,no-ICA,valence__face__gnb__5,2.2802380150176593,1,0.2,2.5011610676341482,2.1524004069559943
P15,stack,1,stack_s1_20.000,20.0,22.0,no-ICA,valence__face__gnb__5,1.5300930010846232,0,0.0,1.7382421350460828,1.3689342678338927
P15,stack,1,stack_s1_21.000,21.0,23.0,no-ICA,valence__face__gnb__5,1.9133708181348332,0,0.0,1.6439477728212593,0.7822758798944021
P15,stack,1,stack_s1_22.000,22.0,24.0,no-ICA,valence__face__gnb__5,2.516890253871552,1,0.2,2.7697385647060973,2.0630134366470707
P15,stack,1,stack_s1_23.000,23.0,25.0,no-ICA,valence__face__gnb__5,2.475365045500721,1,0.2,2.7207715230671994,1.9860159821106613
P15,stack,1,stack_s1_24.000,24.0,26.0,no-ICA,valence__face__gnb__5,2.9545262541932313,0,0.0,2.9294596925347993,1.8774834027624916
P15,stack,1,stack_s1_25.000,25.0,27.0,no-ICA,valence__face__gnb__5,2.6448163780292573,0,0.0,3.127427788955672,1.166012115151566
P15,stack,1,stack_s1_26.000,26.0,28.0,no-ICA,valence__face__gnb__5,1.5320877281517589,0,0.0,2.0828290962185982,1.0663146782874424
P15,stack,1,stack_s1_27.000,27.0,29.0,no-ICA,valence__face__gnb__5,1.8116079990547078,2,0.4,2.5620720319739134,1.5175945820468528
P15,stack,1,stack_s1_28.000,28.0,30.0,no-ICA,valence__face__gnb__5,1.6455412784228256,0,0.0,2.744723781525274,0.7778192916291319
P15,stack,1,stack_s1_29.000,29.0,31.0,no-ICA,valence__face__gnb__5,1.3623634297156917,0,0.0,1.789855335973794,0.6139478006677986
P15,stack,1,stack_s1_30.000,30.0,32.0,no-ICA,valence__face__gnb__5,0.7878423128725819,0,0.0,1.036812780996124,0.6412026470392665
P15,stack,1,stack_s1_31.000,31.0,33.0,no-ICA,valence__face__gnb__5,0.5604979983414519,0,0.0,1.327136913631961,0.5658348816631564
P15,stack,1,stack_s1_32.000,32.0,34.0,no-ICA,valence__face__gnb__5,0.9611321476881997,0,0.0,2.2341462228616398,1.2883480146430486
P15,stack,1,stack_s1_33.000,33.0,35.0,no-ICA,valence__face__gnb__5,0.7808723222397044,0,0.0,1.2830831130986862,0.8555322388859269
P15,stack,1,stack_s1_34.000,34.0,36.0,no-ICA,valence__face__gnb__5,0.9560057850211895,0,0.0,1.1989423350519262,0.6585905312423403
P15,stack,1,stack_s1_35.000,35.0,37.0,no-ICA,valence__face__gnb__5,1.3417065425172898,0,0.0,2.0482002477735834,0.8395873046721442
P15,stack,1,stack_s1_36.000,36.0,38.0,no-ICA,valence__face__gnb__5,1.5610320220192007,0,0.0,2.4179559443524665,1.2351016890012319
P15,stack,1,stack_s1_37.000,37.0,39.0,no-ICA,valence__face__gnb__5,3.061557759091095,2,0.4,2.6301393866914964,2.3593619347920085
P15,stack,1,stack_s1_38.000,38.0,40.0,no-ICA,valence__face__gnb__5,3.4581239939657737,2,0.4,2.7993266477494,2.649734401613303
P15,stack,1,stack_s1_39.000,39.0,41.0,no-ICA,valence__face__gnb__5,3.295714036473299,2,0.4,3.651041910710048,2.0744275158290004
P15,stack,1,stack_s1_40.000,40.0,42.0,no-ICA,valence__face__gnb__5,2.3860513174872917,0,0.0,3.273623597620862,1.8465495163628027
P15,stack,1,stack_s1_41.000,41.0,43.0,no-ICA,valence__face__gnb__5,2.5679642265081815,1,0.2,2.3484438877339198,2.280986463206354
P15,stack,1,stack_s1_42.000,42.0,44.0,no-ICA,valence__face__gnb__5,2.9040382239513405,1,0.2,2.6026385367224405,2.0378793417187224
