mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P22,P22,valence,eeg,knn,10,10,1,P22,120,96,24,2.1407916714889037,1.8825757575757578,-0.34409452794936946,-0.16028597397788258
individual,P22,P22,valence,eeg,knn,10,10,2,P22,120,96,24,2.1628754709946443,1.7689393939393938,-0.22257053291536066,-0.2036680115792473
individual,P22,P22,valence,eeg,knn,10,10,3,P22,120,96,24,2.262781267237486,2.003787878787879,0.0036408309135579353,0.039292494974313086
individual,P22,P22,valence,eeg,knn,10,10,4,P22,120,96,24,2.3735224488988926,2.143939393939394,-0.14622348205084768,-0.14505577271705516
individual,P22,P22,valence,eeg,knn,10,10,5,P22,120,96,24,2.5960873293261155,2.106060606060606,-0.23829332911542567,-0.0073207059722937284
individual,P25,P25,valence,eeg,knn,10,10,1,P25,120,96,24,2.0116739188851818,1.7727272727272727,-0.040613931523022506,-0.03811983471074365
individual,P25,P25,valence,eeg,knn,10,10,2,P25,120,96,24,1.8514010776742091,1.5681818181818183,0.10419822711523774,0.11081279716818415
individual,P25,P25,valence,eeg,knn,10,10,3,P25,120,96,24,1.6828611028752511,1.4335947868211782,-0.728013113500648,-0.4507157323539257
individual,P25,P25,valence,eeg,knn,10,10,4,P25,120,96,24,2.0738766085106954,1.9015151515151516,-0.3073115419001722,-0.233607361695632
individual,P25,P25,valence,eeg,knn,10,10,5,P25,120,96,24,1.8992479714726187,1.642857142857143,-0.31168831168831157,-0.24113584827870538
individual,P32,P32,valence,eeg,knn,10,10,1,P32,120,96,24,1.7224813928633105,1.4848484848484846,-0.26029401009288367,-0.07150344962090749
individual,P32,P32,valence,eeg,knn,10,10,2,P32,120,96,24,1.5846196022221095,1.2575757575757576,-0.04203682092076133,-0.04203682092076111
individual,P32,P32,valence,eeg,knn,10,10,3,P32,120,96,24,1.3627522386376203,1.0416666666666667,0.05085541223316481,0.05092141060520494
individual,P32,P32,valence,eeg,knn,10,10,4,P32,120,96,24,1.4425404205823051,1.0568181818181819,-0.06354176596977279,0.04740149742973021
individual,P32,P32,valence,eeg,knn,10,10,5,P32,120,96,24,1.4517017656973918,1.1287878787878787,-0.10052973483287508,-0.09621393195117744
individual,P40,P40,valence,eeg,knn,10,10,1,P40,120,96,24,2.2762094535837476,1.8106060606060606,-0.33766498364517994,-0.2202955351156317
individual,P40,P40,valence,eeg,knn,10,10,2,P40,120,96,24,2.1048612237745896,1.8181818181818183,-0.34666695741293996,-0.0827449355633576
individual,P40,P40,valence,eeg,knn,10,10,3,P40,120,96,24,2.3341665179102655,2.0583333333333336,-0.11443181818181825,-0.07748579545454559
individual,P40,P40,valence,eeg,knn,10,10,4,P40,120,96,24,2.0730462274529784,1.7954545454545456,-0.06743074636759228,-0.049968103949052045
individual,P40,P40,valence,eeg,knn,10,10,5,P40,120,96,24,2.2038814995166702,1.9204545454545456,-0.12131701419367658,-0.01987445966312773
individual,P42,P42,valence,eeg,knn,10,10,1,P42,120,96,24,1.336965939481368,1.0598494358977624,-0.2389738674367976,-0.0924157413729636
individual,P42,P42,valence,eeg,knn,10,10,2,P42,120,96,24,1.519671618926906,1.2416735934518008,-0.11222027902861842,-0.0863755048549808
individual,P42,P42,valence,eeg,knn,10,10,3,P42,120,96,24,1.6540500423807392,1.4356060606060606,-0.028634313704335224,-0.02798157218997499
individual,P42,P42,valence,eeg,knn,10,10,4,P42,120,96,24,1.1893698125327492,0.9848484848484848,-0.003460489353906304,0.05227374506371374
individual,P42,P42,valence,eeg,knn,10,10,5,P42,120,96,24,1.2942854092403457,1.0400904271844942,0.08279406934436229,0.1258406981399045
individual,P43,P43,valence,eeg,knn,10,10,1,P43,120,96,24,1.3650245459402126,1.0416666666666667,-0.3217440866343686,-0.1776147050441721
individual,P43,P43,valence,eeg,knn,10,10,2,P43,120,96,24,1.5294402008001788,1.1477272727272727,-0.49210620246561043,-0.4320584278300983
individual,P43,P43,valence,eeg,knn,10,10,3,P43,120,96,24,1.624324398655058,1.212121212121212,-0.5896815242574085,-0.27099830561222715
individual,P43,P43,valence,eeg,knn,10,10,4,P43,120,96,24,1.6088811710594204,1.3143939393939394,-0.07110287831290973,-0.047538472499287554
individual,P43,P43,valence,eeg,knn,10,10,5,P43,120,96,24,1.1305914003744018,0.9015151515151517,-0.1576485264306875,-0.15681688237434366
individual,P45,P45,valence,eeg,knn,10,10,1,P45,120,96,24,1.6019100169732816,1.4166666666666667,-0.017963253876101426,0.06399836076770704
individual,P45,P45,valence,eeg,knn,10,10,2,P45,120,96,24,1.2358037402248552,1.0238095238095237,-0.04847850940137688,-0.04847850940137688
individual,P45,P45,valence,eeg,knn,10,10,3,P45,120,96,24,1.42778411992603,1.2272727272727273,0.05836818281230316,0.05879234128851407
individual,P45,P45,valence,eeg,knn,10,10,4,P45,120,96,24,1.4793109482264708,1.2083333333333333,-0.14278863804949693,-0.053767710901148735
