mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,representation,source_run,low_recall
individual,P19,P19,arousal,eeg,gnb,5,5,2,P19,120,96,24,65,55,0.6643356643356644,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.6363636363636364,9,4,4,7,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,gnb,5,5,3,P19,120,96,24,65,55,0.5734265734265734,0.5833333333333334,0.5555555555555556,0.45454545454545453,0.5,9,4,6,5,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,gnb,5,5,4,P19,120,96,24,65,55,0.6503496503496503,0.6666666666666666,0.7142857142857143,0.45454545454545453,0.5555555555555556,11,2,6,5,with_ICA,p19_final,0.8461538461538461
individual,P19,P19,arousal,eeg,gnb,5,5,5,P19,120,96,24,65,55,0.6713286713286714,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.6666666666666666,8,5,3,8,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,gnb,10,10,1,P19,120,96,24,65,55,0.7937062937062938,0.7916666666666666,0.75,0.8181818181818182,0.782608695652174,10,3,2,9,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,gnb,10,10,2,P19,120,96,24,65,55,0.6958041958041958,0.7083333333333334,0.75,0.5454545454545454,0.631578947368421,11,2,5,6,with_ICA,p19_final,0.8461538461538461
individual,P19,P19,arousal,eeg,gnb,10,10,3,P19,120,96,24,65,55,0.534965034965035,0.5416666666666666,0.5,0.45454545454545453,0.47619047619047616,8,5,6,5,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,gnb,10,10,4,P19,120,96,24,65,55,0.5034965034965035,0.5,0.46153846153846156,0.5454545454545454,0.5,6,7,5,6,with_ICA,p19_final,0.46153846153846156
individual,P19,P19,arousal,eeg,gnb,10,10,5,P19,120,96,24,65,55,0.6258741258741258,0.625,0.5833333333333334,0.6363636363636364,0.6086956521739131,8,5,4,7,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,gnb,20,20,1,P19,120,96,24,65,55,0.7937062937062938,0.7916666666666666,0.75,0.8181818181818182,0.782608695652174,10,3,2,9,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,gnb,20,20,2,P19,120,96,24,65,55,0.7027972027972028,0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,10,3,4,7,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,gnb,20,20,3,P19,120,96,24,65,55,0.6118881118881119,0.625,0.625,0.45454545454545453,0.5263157894736842,10,3,6,5,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,gnb,20,20,4,P19,120,96,24,65,55,0.5944055944055944,0.5833333333333334,0.5333333333333333,0.7272727272727273,0.6153846153846154,6,7,3,8,with_ICA,p19_final,0.46153846153846156
individual,P19,P19,arousal,eeg,gnb,20,20,5,P19,120,96,24,65,55,0.49650349650349646,0.5,0.45454545454545453,0.45454545454545453,0.45454545454545453,7,6,6,5,with_ICA,p19_final,0.5384615384615384
individual,P19,P19,valence,eeg,knn,all,all,1,P19,120,96,24,43,77,0.5666666666666667,0.625,0.6666666666666666,0.8,0.7272727272727273,3,6,3,12,no_ICA,p19_no_ica,0.3333333333333333
individual,P19,P19,valence,eeg,knn,all,all,2,P19,120,96,24,43,77,0.4555555555555556,0.5416666666666666,0.6,0.8,0.6857142857142857,1,8,3,12,no_ICA,p19_no_ica,0.1111111111111111
individual,P19,P19,valence,eeg,knn,all,all,3,P19,120,96,24,43,77,0.47777777777777775,0.5416666666666666,0.6111111111111112,0.7333333333333333,0.6666666666666666,2,7,4,11,no_ICA,p19_no_ica,0.2222222222222222
individual,P19,P19,valence,eeg,knn,all,all,4,P19,120,96,24,43,77,0.46875,0.5833333333333334,0.65,0.8125,0.7222222222222222,1,7,3,13,no_ICA,p19_no_ica,0.125
individual,P19,P19,valence,eeg,knn,all,all,5,P19,120,96,24,43,77,0.53125,0.5416666666666666,0.6923076923076923,0.5625,0.6206896551724138,4,4,7,9,no_ICA,p19_no_ica,0.5
individual,P19,P19,valence,eeg,knn,5,5,1,P19,120,96,24,43,77,0.7222222222222222,0.7916666666666666,0.75,1.0,0.8571428571428571,4,5,0,15,no_ICA,p19_no_ica,0.4444444444444444
individual,P19,P19,valence,eeg,knn,5,5,2,P19,120,96,24,43,77,0.6,0.6666666666666666,0.6842105263157895,0.8666666666666667,0.7647058823529411,3,6,2,13,no_ICA,p19_no_ica,0.3333333333333333
individual,P19,P19,valence,eeg,knn,5,5,3,P19,120,96,24,43,77,0.5666666666666667,0.625,0.6666666666666666,0.8,0.7272727272727273,3,6,3,12,no_ICA,p19_no_ica,0.3333333333333333
individual,P19,P19,valence,eeg,knn,5,5,4,P19,120,96,24,43,77,0.4375,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0,8,2,14,no_ICA,p19_no_ica,0.0
